bf_threshold,frac_more_similar_in_ko
1,0.7185314685314685
2,0.7281021897810219
5,0.7391304347826086
10,0.7238095238095238
15,0.728021978021978
20,0.7325227963525835
30,0.7318840579710145
50,0.7711442786069652
100,0.75
150,0.775
200,0.7966101694915254
250,0.8181818181818182
300,0.8108108108108109
