gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
1110018N20Rik,-4.6101375,-6.151056,-7.3066654,-5.083345,0.0602484472049689,0.0582815734989648,0.0596273291925465,0.0628364389233954
1110019B22Rik,2.2789392,-0.5332658,-0.078133374,0.8383177,0.0022774327122153,0.0008281573498964,0.0011387163561076,0.0021739130434782
1110019D14Rik,-1.2415987,-3.060843,-9.7039795,-7.9923015,0.0400621118012422,0.0409937888198757,0.0326086956521739,0.0338509316770186
1110020A21Rik,-3.3625484,-3.2269902,-7.020122,-3.9164965,0.0251552795031055,0.0299171842650103,0.0297101449275362,0.0355072463768115
1110032A03Rik,-10.223097,-6.7760963,-21.152346,-26.840586,0.1613871635610766,0.1657349896480331,0.1771221532091097,0.2122153209109731
1110035H17Rik,-1.6334286,-4.0371575,-3.2200985,-2.49608,0.0183229813664596,0.0222567287784679,0.0189440993788819,0.0243271221532091
1110038B12Rik,-5.4702444,-8.690979,-16.927305,-24.583017,0.0934782608695652,0.1115942028985507,0.1564182194616977,0.1486542443064182
1110038F14Rik,-51.104244,-12.179331,-22.741508,-58.309124,0.3578674948240166,0.3263975155279503,0.3118012422360248,0.3463768115942029
1110046J04Rik,-9.804601,-5.43992,-18.539051,-10.560163,0.0806418219461697,0.0804347826086956,0.075983436853002,0.0817805383022774
1110051M20Rik,-13.962525,-0.997096,-6.9190235,-4.29555,0.0913043478260869,0.0913043478260869,0.0857142857142857,0.0826086956521739
1110059E24Rik,-26.295174,-26.308744,-18.722164,-15.266045,0.234472049689441,0.2247412008281573,0.2368530020703933,0.2602484472049689
1110059G10Rik,-12.695904,-6.659465,-8.322846,-14.456408,0.2544513457556935,0.2391304347826087,0.2393374741200828,0.2817805383022774
1110065P20Rik,-48.372517,-49.543076,-9.440392,-45.962692,0.4143892339544513,0.4274327122153209,0.4706004140786749,0.4811594202898551
1190005I06Rik,-76.501144,75.010796,-54.084084,-56.111355,0.7368530020703934,0.7080745341614907,0.7140786749482402,0.7094202898550724
1190007I07Rik,-23.933485,-9.637393,-12.841799,-15.679133,0.1337474120082815,0.1424430641821946,0.1437888198757764,0.1726708074534161
1200007C13Rik,1.6104203,-2.4720113,-6.0064325,-1.2957264,0.0189440993788819,0.020807453416149,0.0313664596273291,0.0312629399585921
1300002E11Rik,-5.659824,-3.5619357,-22.347504,-36.01103,0.1513457556935817,0.1619047619047619,0.1887163561076604,0.2360248447204969
1300014J16Rik,0.6954868,-0.45943326,0.53792447,1.7571411,0.0008281573498964,0.0007246376811594,0.0014492753623188,0.0006211180124223
1300017J02Rik,0.32558832,-0.39004728,0.10378244,-0.2173858,0.0007246376811594,0.0016563146997929,0.0016563146997929,0.0009316770186335
1500002C15Rik,-4.575095,-4.805602,-1.6328984,-8.023049,0.0165631469979296,0.0142857142857142,0.0135610766045548,0.0149068322981366
1500002F19Rik,-1.7562101,-1.6863636,-4.937184,-3.7767503,0.0090062111801242,0.0107660455486542,0.0217391304347826,0.0262939958592132
1500004A13Rik,-20.36031,-3.8963509,-17.52743,-7.754001,0.1056935817805383,0.0837474120082815,0.0890269151138716,0.0770186335403726
1500009L16Rik,-13.425383,-4.7106533,-44.862957,-12.4868145,0.2160455486542443,0.2101449275362318,0.2443064182194617,0.241511387163561
1500011B03Rik,-18.502047,-12.39775,-14.252832,-8.769228,0.1028985507246376,0.0925465838509316,0.1036231884057971,0.1031055900621118
1500015A07Rik,0.35646924,-1.1934881,-2.2058787,-5.461179,0.0081780538302277,0.0068322981366459,0.0084886128364389,0.0111801242236024
1500026H17Rik,-6.12158,-6.0976176,-5.305157,-2.6858187,0.0477225672877846,0.0456521739130434,0.0355072463768115,0.0351966873706004
1500035N22Rik,-0.4733065,0.5399954,0.2594014,-0.7011229,0.0012422360248447,0.0009316770186335,0.0003105590062111,0.0009316770186335
1600002K03Rik,-6.6704917,-13.5787,-10.106041,-13.441287,0.1191511387163561,0.1272256728778467,0.1171842650103519,0.1395445134575569
1600012H06Rik,-8.812912,-17.643425,-24.530428,-29.161346,0.1281573498964803,0.129399585921325,0.1319875776397515,0.1514492753623188
1600014C10Rik,-11.512408,-4.2182546,-9.365005,-5.179725,0.0662525879917184,0.0626293995859213,0.0698757763975155,0.0630434782608695
1600020E01Rik,-18.00615,0.21089153,-7.262769,-12.852402,0.0741200828157349,0.0750517598343685,0.0839544513457556,0.0908902691511387
1600022D10Rik,0.80508095,-0.22813448,-0.13285424,-1.0561607,0.0004140786749482,0.0003105590062111,0.00175983436853,0.0016563146997929
1700001G11Rik,-0.77210927,-0.9033863,-1.9042,-0.92241853,0.0028985507246376,0.0025879917184265,0.0033126293995859,0.0024844720496894
1700001L05Rik,-2.6364622,-3.1404972,-2.5704591,-1.9582217,0.0095238095238095,0.0094202898550724,0.0115942028985507,0.0112836438923395
1700001L19Rik,-0.54555196,-0.083921894,-0.96697056,0.028859748,0.0020703933747412,0.0027950310559006,0.0031055900621118,0.0016563146997929
1700001O22Rik,-3.5389273,-1.75955,0.4956057,-1.1587636,0.0124223602484472,0.0120082815734989,0.0111801242236024,0.0091097308488612
1700003E16Rik,-0.060297325,0.062530555,0.2171605,-1.0590434,0.0020703933747412,0.0014492753623188,0.0028985507246376,0.0021739130434782
1700007L15Rik,-4.0292845,-0.71329635,-3.380361,-2.5328984,0.0064182194616977,0.0059006211180124,0.0090062111801242,0.0081780538302277
1700008J07Rik,-2.1543486,-2.8468766,-6.4865847,-5.6187906,0.0222567287784679,0.0251552795031055,0.0301242236024844,0.0332298136645962
1700008O03Rik,0.0033266575,-1.8075281,-3.5836716,0.3735134,0.0055900621118012,0.0074534161490683,0.0073498964803312,0.0079710144927536
1700010I14Rik,-0.4580317,0.11460401,-2.7227962,-0.48347202,0.0010351966873706,0.0009316770186335,0.0024844720496894,0.0014492753623188
1700012D14Rik,-2.5564103,-1.1345094,0.0516891,-6.1455426,0.0317805383022774,0.0343685300207039,0.0325051759834368,0.0346790890269151
1700015F17Rik,0.0034923276,0.49993962,0.031589992,0.8764782,0.0011387163561076,0.0008281573498964,0.0016563146997929,0.0003105590062111
1700016F12Rik,1.0575987,0.42541787,-1.6059804,-1.0114099,0.0019668737060041,0.0008281573498964,0.0034161490683229,0.0028985507246376
1700016G22Rik,1.4437429,0.01992681,-2.8025036,1.1670604,0.0025879917184265,0.0024844720496894,0.0096273291925465,0.0102484472049689
