bf_threshold,wt,ko,shared
0.5,786,443,75
0.75,707,381,62
1.0,648,338,55
1.25,590,303,49
1.5,538,263,41
1.75,491,239,35
2.0,454,215,33
2.25,415,195,32
2.5,385,177,30
2.75,360,167,26
3.0,329,148,24
4.0,249,107,21
5.0,194,82,14
6.0,163,61,13
7.0,134,49,12
8.0,116,42,11
9.0,104,38,10
10.0,96,32,8
