bf_threshold,Aligned,Misaligned,Unique aligned,Unique misaligned,Shared
0.5,947,412,784,249,163
0.5095095095095095,941,409,780,248,161
0.519019019019019,935,408,775,248,160
0.5285285285285285,926,405,766,245,160
0.5380380380380381,926,403,766,243,160
0.5475475475475475,921,402,761,242,160
0.5570570570570571,913,398,753,238,160
0.5665665665665666,906,394,748,236,158
0.5760760760760761,905,393,748,236,157
0.5855855855855856,899,389,743,233,156
0.5950950950950951,894,389,738,233,156
0.6046046046046046,893,387,737,231,156
0.6141141141141141,891,386,735,230,156
0.6236236236236237,889,380,733,224,156
0.6331331331331331,885,379,729,223,156
0.6426426426426426,881,377,725,221,156
0.6521521521521522,878,376,723,221,155
0.6616616616616617,877,373,722,218,155
0.6711711711711712,873,372,719,218,154
0.6806806806806807,869,366,716,213,153
0.6901901901901902,865,363,712,210,153
0.6996996996996997,860,359,707,206,153
0.7092092092092093,855,357,703,205,152
0.7187187187187187,850,356,698,204,152
0.7282282282282282,847,356,695,204,152
0.7377377377377378,845,354,693,202,152
0.7472472472472473,842,349,691,198,151
0.7567567567567568,839,347,688,196,151
0.7662662662662663,832,346,682,196,150
0.7757757757757757,826,346,676,196,150
0.7852852852852853,822,346,672,196,150
0.7947947947947949,819,345,670,196,149
0.8043043043043043,810,344,661,195,149
0.8138138138138138,809,338,661,190,148
0.8233233233233234,804,336,657,189,147
0.8328328328328329,799,334,653,188,146
0.8423423423423424,793,332,648,187,145
0.8518518518518519,791,331,646,186,145
0.8613613613613613,788,331,643,186,145
0.8708708708708709,783,328,638,183,145
0.8803803803803805,780,325,635,180,145
0.8898898898898899,776,323,631,178,145
0.8993993993993994,774,322,630,178,144
0.908908908908909,769,320,625,176,144
0.9184184184184184,766,319,622,175,144
0.927927927927928,765,319,621,175,144
0.9374374374374375,763,319,619,175,144
0.9469469469469469,760,316,618,174,142
0.9564564564564565,758,315,616,173,142
0.9659659659659661,755,313,614,172,141
0.9754754754754755,754,311,614,171,140
0.984984984984985,752,311,612,171,140
0.9944944944944946,748,311,609,172,139
1.004004004004004,746,310,607,171,139
1.0135135135135136,740,310,601,171,139
1.023023023023023,739,308,601,170,138
1.0325325325325325,736,306,598,168,138
1.0420420420420422,732,306,594,168,138
1.0515515515515514,730,305,592,167,138
1.0610610610610611,728,303,590,165,138
1.0705705705705706,726,300,588,162,138
1.08008008008008,725,297,588,160,137
1.0895895895895897,722,296,586,160,136
1.0990990990990992,718,295,582,159,136
1.1086086086086087,714,294,578,158,136
1.1181181181181181,713,292,577,156,136
1.1276276276276276,709,291,573,155,136
1.1371371371371373,709,291,573,155,136
1.1466466466466467,705,287,569,151,136
1.1561561561561562,702,285,567,150,135
1.1656656656656659,701,284,567,150,134
1.1751751751751751,696,281,563,148,133
1.1846846846846848,692,280,559,147,133
1.1941941941941943,688,278,555,145,133
1.2037037037037037,687,275,554,142,133
1.2132132132132134,687,274,554,141,133
1.2227227227227226,685,273,552,140,133
1.2322322322322323,684,273,551,140,133
1.2417417417417418,681,272,548,139,133
1.2512512512512513,678,270,545,137,133
1.260760760760761,676,269,543,136,133
1.2702702702702702,676,269,543,136,133
1.2797797797797799,672,268,539,135,133
1.2892892892892893,671,267,538,134,133
1.2987987987987988,668,266,536,134,132
1.3083083083083085,667,265,536,134,131
1.317817817817818,664,264,534,134,130
1.3273273273273274,661,263,531,133,130
1.3368368368368369,659,263,529,133,130
1.3463463463463463,656,262,526,132,130
1.355855855855856,653,260,523,130,130
1.3653653653653655,647,260,517,130,130
1.374874874874875,644,258,515,129,129
1.3843843843843846,639,256,510,127,129
1.3938938938938938,636,256,507,127,129
1.4034034034034035,635,255,507,127,128
1.412912912912913,628,255,501,128,127
1.4224224224224224,627,255,500,128,127
1.4319319319319321,627,254,500,127,127
1.4414414414414414,625,254,498,127,127
1.450950950950951,621,253,494,126,127
1.4604604604604605,621,252,495,126,126
1.46996996996997,620,250,494,124,126
1.4794794794794797,617,248,492,123,125
1.4889889889889891,617,248,492,123,125
1.4984984984984986,615,248,490,123,125
1.508008008008008,613,245,489,121,124
1.5175175175175175,611,245,487,121,124
1.5270270270270272,609,244,485,120,124
1.5365365365365367,607,244,483,120,124
1.5460460460460461,602,243,479,120,123
1.5555555555555556,600,243,477,120,123
1.565065065065065,598,243,475,120,123
1.5745745745745747,596,241,473,118,123
1.5840840840840842,595,241,472,118,123
1.5935935935935936,593,241,471,119,122
1.603103103103103,592,239,470,117,122
1.6126126126126128,589,239,467,117,122
1.6221221221221223,585,239,463,117,122
1.6316316316316317,583,238,462,117,121
1.6411411411411412,583,238,462,117,121
1.6506506506506506,582,234,462,114,120
1.6601601601601603,577,234,457,114,120
1.6696696696696698,576,234,456,114,120
1.6791791791791792,572,232,452,112,120
1.6886886886886887,570,231,450,111,120
1.6981981981981984,569,231,449,111,120
1.7077077077077079,567,229,447,109,120
1.7172172172172173,563,228,443,108,120
1.7267267267267268,561,227,441,107,120
1.7362362362362362,559,227,439,107,120
1.745745745745746,556,226,436,106,120
1.7552552552552554,552,226,432,106,120
1.7647647647647648,549,225,429,105,120
1.7742742742742743,549,225,429,105,120
1.783783783783784,547,225,428,106,119
1.7932932932932935,547,225,428,106,119
1.802802802802803,545,225,426,106,119
1.8123123123123124,545,225,426,106,119
1.8218218218218218,542,224,424,106,118
1.8313313313313315,541,224,423,106,118
1.840840840840841,541,223,423,105,118
1.8503503503503504,541,221,423,103,118
1.85985985985986,534,220,416,102,118
1.8693693693693696,530,220,412,102,118
1.878878878878879,526,219,408,101,118
1.8883883883883885,525,219,407,101,118
1.897897897897898,525,219,407,101,118
1.9074074074074074,524,219,406,101,118
1.9169169169169171,522,219,404,101,118
1.9264264264264266,522,218,404,100,118
1.935935935935936,519,218,401,100,118
1.9454454454454455,516,216,399,99,117
1.954954954954955,513,216,396,99,117
1.9644644644644647,511,215,394,98,117
1.9739739739739741,509,215,392,98,117
1.9834834834834836,507,214,390,97,117
1.992992992992993,505,213,388,96,117
2.0025025025025025,504,213,387,96,117
2.012012012012012,503,213,386,96,117
2.021521521521522,502,212,385,95,117
2.031031031031031,498,212,381,95,117
2.0405405405405403,498,212,381,95,117
2.05005005005005,498,210,381,93,117
2.0595595595595597,497,209,380,92,117
2.0690690690690694,496,209,379,92,117
2.0785785785785786,494,209,377,92,117
2.0880880880880883,491,208,374,91,117
2.0975975975975976,489,207,372,90,117
2.1071071071071072,488,207,371,90,117
2.116616616616617,484,207,368,91,116
2.126126126126126,483,205,368,90,115
2.135635635635636,479,205,364,90,115
2.145145145145145,478,204,363,89,115
2.1546546546546548,476,201,361,86,115
2.1641641641641645,475,199,362,86,113
2.1736736736736737,472,198,359,85,113
2.1831831831831834,471,197,358,84,113
2.1926926926926926,470,197,357,84,113
2.2022022022022023,468,195,356,83,112
2.211711711711712,467,195,355,83,112
2.2212212212212217,461,194,349,82,112
2.230730730730731,457,194,345,82,112
2.24024024024024,455,192,344,81,111
2.24974974974975,453,192,342,81,111
2.2592592592592595,451,192,340,81,111
2.268768768768769,448,192,337,81,111
2.2782782782782784,447,191,336,80,111
2.2877877877877877,446,191,335,80,111
2.2972972972972974,445,191,334,80,111
2.306806806806807,442,191,331,80,111
2.3163163163163167,441,191,330,80,111
2.325825825825826,441,191,330,80,111
2.335335335335335,441,191,330,80,111
2.344844844844845,440,190,330,80,110
2.3543543543543546,440,189,330,79,110
2.3638638638638643,440,189,330,79,110
2.3733733733733735,439,189,329,79,110
2.3828828828828827,438,187,329,78,109
2.3923923923923924,437,187,328,78,109
2.401901901901902,435,186,326,77,109
2.411411411411412,435,186,326,77,109
2.420920920920921,434,186,325,77,109
2.4304304304304303,433,186,324,77,109
2.43993993993994,431,185,322,76,109
2.4494494494494496,430,185,321,76,109
2.4589589589589593,430,185,321,76,109
2.4684684684684686,429,185,320,76,109
2.4779779779779783,428,185,319,76,109
2.4874874874874875,428,185,319,76,109
2.496996996996997,426,184,317,75,109
2.506506506506507,424,182,316,74,108
2.516016016016016,424,181,316,73,108
2.525525525525526,424,181,316,73,108
2.535035035035035,423,180,316,73,107
2.5445445445445447,423,180,316,73,107
2.5540540540540544,422,179,315,72,107
2.5635635635635636,421,179,314,72,107
2.5730730730730733,419,178,312,71,107
2.5825825825825826,416,178,310,72,106
2.5920920920920922,415,178,309,72,106
2.601601601601602,414,177,309,72,105
2.611111111111111,414,177,309,72,105
2.620620620620621,412,176,307,71,105
2.63013013013013,412,175,307,70,105
2.6396396396396398,412,174,307,69,105
2.6491491491491495,411,172,307,68,104
2.6586586586586587,411,171,308,68,103
2.6681681681681684,408,171,305,68,103
2.677677677677678,407,170,304,67,103
2.6871871871871873,407,170,304,67,103
2.696696696696697,406,170,303,67,103
2.706206206206206,404,170,301,67,103
2.715715715715716,403,168,302,67,101
2.7252252252252256,399,168,298,67,101
2.734734734734735,398,168,297,67,101
2.7442442442442445,398,167,297,66,101
2.7537537537537538,393,166,294,67,99
2.7632632632632634,393,165,294,66,99
2.772772772772773,392,165,294,67,98
2.7822822822822824,390,164,293,67,97
2.791791791791792,390,164,293,67,97
2.8013013013013013,389,164,292,67,97
2.810810810810811,389,163,292,66,97
2.8203203203203207,389,163,292,66,97
2.82982982982983,389,163,292,66,97
2.8393393393393396,388,163,291,66,97
2.8488488488488493,386,162,289,65,97
2.8583583583583585,385,162,288,65,97
2.867867867867868,384,162,287,65,97
2.8773773773773774,382,161,285,64,97
2.886886886886887,381,161,284,64,97
2.896396396396397,381,161,284,64,97
2.905905905905906,379,161,282,64,97
2.9154154154154157,376,161,280,65,96
2.924924924924925,375,161,279,65,96
2.9344344344344346,375,161,279,65,96
2.9439439439439443,375,161,279,65,96
2.9534534534534536,375,161,279,65,96
2.9629629629629632,374,160,278,64,96
2.9724724724724725,373,158,278,63,95
2.981981981981982,372,158,277,63,95
2.991491491491492,372,157,277,62,95
3.001001001001001,370,157,276,63,94
3.0105105105105108,370,157,276,63,94
3.02002002002002,370,157,276,63,94
3.0295295295295297,368,157,274,63,94
3.0390390390390394,368,157,274,63,94
3.0485485485485486,364,157,270,63,94
3.0580580580580583,362,157,268,63,94
3.067567567567568,362,157,268,63,94
3.0770770770770772,360,157,266,63,94
3.086586586586587,359,156,266,63,93
3.096096096096096,359,155,266,62,93
3.105605605605606,359,155,266,62,93
3.1151151151151155,357,155,264,62,93
3.1246246246246248,357,155,264,62,93
3.1341341341341344,356,155,263,62,93
3.1436436436436437,356,155,263,62,93
3.1531531531531534,356,154,263,61,93
3.162662662662663,356,154,263,61,93
3.1721721721721723,355,154,262,61,93
3.181681681681682,353,152,261,60,92
3.191191191191191,353,152,261,60,92
3.200700700700701,353,152,261,60,92
3.2102102102102106,353,151,262,60,91
3.21971971971972,353,150,262,59,91
3.2292292292292295,352,150,261,59,91
3.238738738738739,350,150,259,59,91
3.2482482482482484,350,149,259,58,91
3.257757757757758,349,148,258,57,91
3.2672672672672673,348,148,257,57,91
3.276776776776777,348,148,257,57,91
3.2862862862862867,347,148,256,57,91
3.295795795795796,347,148,256,57,91
3.3053053053053056,346,148,255,57,91
3.314814814814815,344,147,253,56,91
3.3243243243243246,344,147,253,56,91
3.3338338338338342,343,147,252,56,91
3.3433433433433435,343,147,252,56,91
3.352852852852853,343,147,252,56,91
3.3623623623623624,342,147,251,56,91
3.371871871871872,342,147,251,56,91
3.381381381381382,342,147,251,56,91
3.390890890890891,341,147,250,56,91
3.4004004004004007,340,146,249,55,91
3.40990990990991,339,146,248,55,91
3.4194194194194196,339,146,248,55,91
3.4289289289289293,338,145,247,54,91
3.4384384384384385,338,144,247,53,91
3.4479479479479482,336,144,245,53,91
3.457457457457458,335,144,244,53,91
3.466966966966967,334,142,244,52,90
3.476476476476477,332,142,243,53,89
3.485985985985986,332,142,243,53,89
3.4954954954954958,331,142,242,53,89
3.5050050050050054,331,142,242,53,89
3.5145145145145147,331,142,242,53,89
3.5240240240240244,331,142,242,53,89
3.5335335335335336,331,142,242,53,89
3.5430430430430433,330,142,241,53,89
3.552552552552553,329,141,240,52,89
3.562062062062062,329,141,240,52,89
3.571571571571572,328,140,239,51,89
3.581081081081081,328,140,239,51,89
3.590590590590591,328,138,240,50,88
3.6001001001001005,328,137,241,50,87
3.6096096096096097,327,137,240,50,87
3.6191191191191194,326,136,240,50,86
3.6286286286286287,326,136,240,50,86
3.6381381381381384,326,136,240,50,86
3.647647647647648,325,134,239,48,86
3.6571571571571573,322,134,236,48,86
3.666666666666667,322,134,236,48,86
3.6761761761761766,322,134,236,48,86
3.685685685685686,320,134,235,49,85
3.6951951951951956,320,134,235,49,85
3.704704704704705,320,134,235,49,85
3.7142142142142145,320,133,236,49,84
3.723723723723724,320,133,236,49,84
3.7332332332332334,320,133,236,49,84
3.742742742742743,320,133,236,49,84
3.7522522522522523,319,133,235,49,84
3.761761761761762,319,133,235,49,84
3.7712712712712717,317,133,233,49,84
3.780780780780781,317,133,233,49,84
3.7902902902902906,317,132,233,48,84
3.7997997997998,316,132,233,49,83
3.8093093093093096,316,132,233,49,83
3.8188188188188192,316,132,233,49,83
3.8283283283283285,314,132,231,49,83
3.837837837837838,312,132,229,49,83
3.8473473473473474,312,132,229,49,83
3.856856856856857,312,131,229,48,83
3.8663663663663668,311,131,228,48,83
3.875875875875876,311,130,228,47,83
3.8853853853853857,310,130,227,47,83
3.8948948948948954,310,130,227,47,83
3.9044044044044046,309,130,226,47,83
3.9139139139139143,309,130,226,47,83
3.9234234234234235,307,129,225,47,82
3.9329329329329332,307,129,225,47,82
3.942442442442443,307,129,225,47,82
3.951951951951952,307,129,225,47,82
3.961461461461462,307,129,225,47,82
3.970970970970971,307,129,225,47,82
3.9804804804804808,306,129,224,47,82
3.9899899899899904,306,128,224,46,82
3.9994994994994997,306,127,225,46,81
4.009009009009009,306,127,225,46,81
4.018518518518519,306,127,225,46,81
4.028028028028029,306,127,225,46,81
4.037537537537538,305,127,225,47,80
4.047047047047047,303,127,223,47,80
4.056556556556557,303,127,223,47,80
4.066066066066067,301,127,221,47,80
4.075575575575575,299,127,219,47,80
4.085085085085085,299,126,219,46,80
4.094594594594595,299,124,219,44,80
4.104104104104104,298,124,219,45,79
4.113613613613614,298,124,219,45,79
4.123123123123124,298,124,219,45,79
4.1326326326326335,298,124,219,45,79
4.142142142142142,297,123,219,45,78
4.151651651651652,295,123,217,45,78
4.161161161161162,295,123,217,45,78
4.17067067067067,294,123,216,45,78
4.18018018018018,293,123,215,45,78
4.18968968968969,293,123,215,45,78
4.1991991991991995,293,123,215,45,78
4.208708708708709,292,123,214,45,78
4.218218218218219,292,123,214,45,78
4.2277277277277285,292,123,214,45,78
4.237237237237237,292,123,214,45,78
4.246746746746747,291,123,213,45,78
4.256256256256257,291,123,213,45,78
4.2657657657657655,290,123,212,45,78
4.275275275275275,288,123,210,45,78
4.284784784784785,288,123,210,45,78
4.2942942942942945,288,123,210,45,78
4.303803803803804,288,123,210,45,78
4.313313313313314,288,123,210,45,78
4.322822822822824,287,122,210,45,77
4.332332332332333,285,122,209,46,76
4.341841841841842,285,121,210,46,75
4.351351351351352,285,119,212,46,73
4.3608608608608606,285,118,212,45,73
4.37037037037037,285,118,212,45,73
4.37987987987988,285,117,213,45,72
4.38938938938939,284,117,212,45,72
4.398898898898899,283,116,212,45,71
4.408408408408409,283,116,212,45,71
4.417917917917919,283,115,213,45,70
4.427427427427428,283,115,213,45,70
4.436936936936937,283,115,213,45,70
4.446446446446447,283,114,213,44,70
4.4559559559559565,283,114,213,44,70
4.465465465465465,282,114,212,44,70
4.474974974974975,282,114,212,44,70
4.484484484484485,282,114,212,44,70
4.493993993993994,282,113,213,44,69
4.503503503503504,282,113,213,44,69
4.513013013013014,281,113,212,44,69
4.5225225225225225,279,113,210,44,69
4.532032032032032,279,113,210,44,69
4.541541541541542,279,112,211,44,68
4.551051051051052,279,112,211,44,68
4.560560560560561,277,111,211,45,66
4.57007007007007,276,110,210,44,66
4.57957957957958,274,109,208,43,66
4.589089089089089,273,109,207,43,66
4.598598598598599,271,109,205,43,66
4.608108108108109,271,109,205,43,66
4.617617617617618,271,108,205,42,66
4.627127127127127,269,108,203,42,66
4.636636636636637,268,108,203,43,65
4.646146146146147,268,108,203,43,65
4.655655655655656,268,108,203,43,65
4.665165165165165,268,108,203,43,65
4.674674674674675,268,108,203,43,65
4.6841841841841845,268,108,203,43,65
4.693693693693694,268,108,203,43,65
4.703203203203204,267,108,202,43,65
4.712712712712713,267,108,202,43,65
4.722222222222222,267,108,202,43,65
4.731731731731732,267,108,202,43,65
4.741241241241242,265,108,200,43,65
4.750750750750751,264,108,199,43,65
4.76026026026026,263,107,199,43,64
4.76976976976977,263,107,199,43,64
4.7792792792792795,263,107,199,43,64
4.788788788788789,263,107,199,43,64
4.798298298298299,263,107,199,43,64
4.807807807807809,263,107,199,43,64
4.817317317317317,263,107,199,43,64
4.826826826826827,262,107,198,43,64
4.836336336336337,262,107,198,43,64
4.845845845845846,262,107,198,43,64
4.855355355355356,261,107,197,43,64
4.864864864864865,260,107,196,43,64
4.874374374374375,259,107,195,43,64
4.883883883883884,259,107,195,43,64
4.893393393393394,259,107,195,43,64
4.902902902902904,259,107,195,43,64
4.912412412412412,259,107,195,43,64
4.921921921921922,259,107,195,43,64
4.931431431431432,259,107,195,43,64
4.9409409409409415,259,107,195,43,64
4.950450450450451,259,106,195,42,64
4.95995995995996,258,106,194,42,64
4.96946946946947,258,106,194,42,64
4.978978978978979,257,106,193,42,64
4.988488488488489,257,106,193,42,64
4.997997997997999,257,105,193,41,64
5.0075075075075075,257,105,193,41,64
5.017017017017017,256,105,192,41,64
5.026526526526527,256,105,192,41,64
