bf_threshold,Aligned,Misaligned,Unique aligned,Unique misaligned,Shared
0.5,627,542,546,461,81
0.5095095095095095,621,537,541,457,80
0.519019019019019,615,527,536,448,79
0.5285285285285285,606,522,528,444,78
0.5380380380380381,597,513,522,438,75
0.5475475475475475,586,507,512,433,74
0.5570570570570571,574,496,502,424,72
0.5665665665665666,567,494,496,423,71
0.5760760760760761,557,488,487,418,70
0.5855855855855856,551,478,485,412,66
0.5950950950950951,537,473,472,408,65
0.6046046046046046,528,466,463,401,65
0.6141141141141141,519,462,454,397,65
0.6236236236236237,514,457,449,392,65
0.6331331331331331,508,452,443,387,65
0.6426426426426426,501,445,437,381,64
0.6521521521521522,497,439,433,375,64
0.6616616616616617,495,435,431,371,64
0.6711711711711712,486,419,425,358,61
0.6806806806806807,474,414,413,353,61
0.6901901901901902,471,410,411,350,60
0.6996996996996997,467,406,408,347,59
0.7092092092092093,462,404,403,345,59
0.7187187187187187,458,400,399,341,59
0.7282282282282282,455,394,397,336,58
0.7377377377377378,452,390,394,332,58
0.7472472472472473,443,382,387,326,56
0.7567567567567568,434,376,380,322,54
0.7662662662662663,428,369,375,316,53
0.7757757757757757,426,365,373,312,53
0.7852852852852853,421,360,368,307,53
0.7947947947947949,412,354,360,302,52
0.8043043043043043,405,349,355,299,50
0.8138138138138138,401,343,351,293,50
0.8233233233233234,398,336,348,286,50
0.8328328328328329,394,331,345,282,49
0.8423423423423424,392,327,343,278,49
0.8518518518518519,389,324,340,275,49
0.8613613613613613,386,320,338,272,48
0.8708708708708709,377,315,329,267,48
0.8803803803803805,370,309,322,261,48
0.8898898898898899,368,308,320,260,48
0.8993993993993994,361,305,313,257,48
0.908908908908909,361,302,313,254,48
0.9184184184184184,354,296,307,249,47
0.927927927927928,344,291,297,244,47
0.9374374374374375,340,288,293,241,47
0.9469469469469469,336,285,290,239,46
0.9564564564564565,330,284,285,239,45
0.9659659659659661,325,282,280,237,45
0.9754754754754755,321,281,276,236,45
0.984984984984985,316,277,272,233,44
0.9944944944944946,313,273,270,230,43
1.004004004004004,312,269,269,226,43
1.0135135135135136,309,266,269,226,40
1.023023023023023,307,264,267,224,40
1.0325325325325325,302,261,262,221,40
1.0420420420420422,296,260,257,221,39
1.0515515515515514,294,258,255,219,39
1.0610610610610611,292,256,253,217,39
1.0705705705705706,285,256,246,217,39
1.08008008008008,282,252,243,213,39
1.0895895895895897,278,248,240,210,38
1.0990990990990992,275,247,237,209,38
1.1086086086086087,272,243,235,206,37
1.1181181181181181,267,242,232,207,35
1.1276276276276276,265,239,230,204,35
1.1371371371371373,261,237,226,202,35
1.1466466466466467,258,236,223,201,35
1.1561561561561562,256,235,221,200,35
1.1656656656656659,251,233,217,199,34
1.1751751751751751,249,229,215,195,34
1.1846846846846848,245,225,212,192,33
1.1941941941941943,242,224,209,191,33
1.2037037037037037,238,221,205,188,33
1.2132132132132134,236,219,203,186,33
1.2227227227227226,235,219,202,186,33
1.2322322322322323,230,216,197,183,33
1.2417417417417418,230,214,197,181,33
1.2512512512512513,228,213,195,180,33
1.260760760760761,226,210,193,177,33
1.2702702702702702,223,209,190,176,33
1.2797797797797799,221,208,188,175,33
1.2892892892892893,219,203,186,170,33
1.2987987987987988,216,200,184,168,32
1.3083083083083085,214,198,183,167,31
1.317817817817818,211,197,181,167,30
1.3273273273273274,210,194,181,165,29
1.3368368368368369,206,192,178,164,28
1.3463463463463463,206,191,178,163,28
1.355855855855856,205,190,177,162,28
1.3653653653653655,202,189,174,161,28
1.374874874874875,199,186,171,158,28
1.3843843843843846,197,184,169,156,28
1.3938938938938938,196,183,168,155,28
1.4034034034034035,194,181,166,153,28
1.412912912912913,192,177,164,149,28
1.4224224224224224,189,175,164,150,25
1.4319319319319321,188,173,163,148,25
1.4414414414414414,188,172,163,147,25
1.450950950950951,184,170,159,145,25
1.4604604604604605,184,170,159,145,25
1.46996996996997,181,169,156,144,25
1.4794794794794797,179,166,155,142,24
1.4889889889889891,178,163,155,140,23
1.4984984984984986,176,161,153,138,23
1.508008008008008,175,160,152,137,23
1.5175175175175175,173,156,150,133,23
1.5270270270270272,172,154,149,131,23
1.5365365365365367,171,154,148,131,23
1.5460460460460461,169,154,146,131,23
1.5555555555555556,169,152,146,129,23
1.565065065065065,168,150,145,127,23
1.5745745745745747,164,150,142,128,22
1.5840840840840842,163,149,141,127,22
1.5935935935935936,161,148,139,126,22
1.603103103103103,161,145,139,123,22
1.6126126126126128,161,144,139,122,22
1.6221221221221223,161,142,139,120,22
1.6316316316316317,159,142,137,120,22
1.6411411411411412,156,140,134,118,22
1.6506506506506506,156,138,134,116,22
1.6601601601601603,152,137,130,115,22
1.6696696696696698,150,134,128,112,22
1.6791791791791792,148,133,126,111,22
1.6886886886886887,146,132,124,110,22
1.6981981981981984,146,132,124,110,22
1.7077077077077079,146,131,125,110,21
1.7172172172172173,146,130,125,109,21
1.7267267267267268,146,127,125,106,21
1.7362362362362362,144,127,123,106,21
1.745745745745746,143,125,124,106,19
1.7552552552552554,142,123,123,104,19
1.7647647647647648,140,123,121,104,19
1.7742742742742743,139,121,120,102,19
1.783783783783784,138,120,119,101,19
1.7932932932932935,137,118,118,99,19
1.802802802802803,136,115,118,97,18
1.8123123123123124,136,113,118,95,18
1.8218218218218218,136,113,118,95,18
1.8313313313313315,134,112,116,94,18
1.840840840840841,133,112,115,94,18
1.8503503503503504,132,111,114,93,18
1.85985985985986,127,110,109,92,18
1.8693693693693696,127,110,109,92,18
1.878878878878879,126,109,108,91,18
1.8883883883883885,123,107,105,89,18
1.897897897897898,122,106,104,88,18
1.9074074074074074,122,105,104,87,18
1.9169169169169171,122,105,104,87,18
1.9264264264264266,121,104,103,86,18
1.935935935935936,119,103,101,85,18
1.9454454454454455,118,102,100,84,18
1.954954954954955,118,102,100,84,18
1.9644644644644647,117,102,99,84,18
1.9739739739739741,116,100,98,82,18
1.9834834834834836,115,99,97,81,18
1.992992992992993,115,99,97,81,18
2.0025025025025025,114,99,96,81,18
2.012012012012012,113,96,95,78,18
2.021521521521522,111,96,93,78,18
2.031031031031031,110,96,92,78,18
2.0405405405405403,107,96,89,78,18
2.05005005005005,107,95,89,77,18
2.0595595595595597,107,94,89,76,18
2.0690690690690694,106,93,88,75,18
2.0785785785785786,105,92,87,74,18
2.0880880880880883,105,91,87,73,18
2.0975975975975976,103,90,85,72,18
2.1071071071071072,102,90,84,72,18
2.116616616616617,101,90,83,72,18
2.126126126126126,100,88,82,70,18
2.135635635635636,100,87,82,69,18
2.145145145145145,98,87,81,70,17
2.1546546546546548,97,87,80,70,17
2.1641641641641645,95,86,78,69,17
2.1736736736736737,94,85,77,68,17
2.1831831831831834,93,85,76,68,17
2.1926926926926926,93,85,76,68,17
2.2022022022022023,93,85,76,68,17
