bf_threshold,wt,ko,shared
0.5,1063,481,118
0.75,1021,453,109
1.0,990,434,106
1.25,955,409,100
1.5,931,388,94
1.75,898,371,89
2.0,875,357,85
2.25,851,340,81
2.5,835,326,79
2.75,813,315,77
3.0,787,299,71
4.0,725,264,66
5.0,675,242,62
6.0,625,227,58
7.0,585,198,49
8.0,554,182,46
9.0,527,173,41
10.0,496,162,38
