gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Gm5860	0.49	0.26	0.26	0.55	1.0	-145.86484	-143.60532	-144.6763	-144.68526	0.0	-0.51228535	-11.869522083477044	1.7072661136023655	0.09030837004405286	41
Nfib	0.5	0.5	0.5	0.42	1.0	-1132.1436	-1073.7058	-1121.2363	-1084.5042	0.0	-20.68953	-7.633830183338468	6.09620187462344	0.947136563876652	430
Gm11266	0.4599999999999999	0.27	0.27	0.63	1.0	-101.337814	-98.988754	-99.9137	-99.90105	0.0	-0.6239802	-12.448243657303129	1.335560568756505	0.05066079295154185	23
Zdhhc21	0.15	0.31	0.15	0.69	0.93	-329.39816	-322.92422	-329.1651	-323.62817	0.0	-2.5058744	-10.591845771111668	0.3006699603047842	0.2290748898678414	104
Frem1	0.49	0.45	0.45	0.56	1.0	-6.739783	-7.1805716	-6.6933203	-7.1528945	1.0	0.17941213	-15.622871110709344	6.264174087946046	0.0022026431718061676	1
Ttc39b	0.46	0.35	0.35	0.43	1.0	-359.69745	-348.97125	-352.1225	-355.77786	0.0	-1.7022547	-10.394942219147417	4.42938240369905	0.29515418502202645	134
Snapc3	0.32	0.13	0.13	0.58	1.0	-226.29996	-229.1543	-227.68376	-229.91447	0.5151928	1.5697649	-11.326412682544905	4.508884070239072	0.15859030837004406	72
Psip1	0.37	0.4	0.37	0.61	1.0	-756.29596	-742.5903	-753.47656	-745.553	0.0	-4.6656175	-8.834028042873424	5.767943889015923	0.6718061674008811	305
Ccdc171	0.2199999999999999	0.18	0.18	0.56	1.0	-61.840405	-60.848377	-60.713116	-62.494396	0.0	0.28402498	-13.099850332551163	5.3158512801509135	0.030837004405286344	14
Bnc2	0.24	0.43	0.24	0.61	1.0	-36.259666	-37.404724	-36.797005	-37.11208	0.5307326	0.37019834	-13.814912109384174	0.5600157335813201	0.011013215859030838	5
Cntln	0.42	0.4	0.4	0.63	1.0	-436.21344	-424.24097	-431.98907	-428.40424	0.0	-3.3914943	-10.09359612044986	0.9039103266857005	0.31938325991189426	145
Sh3gl2	0.15	0.47	0.15	0.58	1.0	-215.21317	-210.49039	-216.16977	-211.51472	0.0	-1.6062123	-11.25206963872682	6.220497458043245	0.13876651982378854	63
Adamtsl1	0.35	0.3199999999999999	0.3199999999999999	0.6	1.0	-1087.9147	-1058.9264	-1080.3435	-1068.0349	0.0	-8.63367	-8.26550457520162	4.974701477468308	0.7268722466960352	330
Rraga	0.48	0.3199999999999999	0.3199999999999999	0.56	1.0	-556.91925	-542.6959	-555.0812	-544.74786	0.0	-5.285966	-9.504475257438688	4.760918902192245	0.5726872246696035	260
Haus6	0.17	0.35	0.17	0.61	1.0	-131.4714	-129.41971	-130.94495	-130.99496	0.0	-0.20691545	-12.0824178163768	3.63189316015201	0.07048458149779736	32
Plin2	0.5	0.4599999999999999	0.4599999999999999	0.51	1.0	-397.5432	-384.54535	-392.1176	-389.83575	0.0	-3.3473067	-10.375984169685692	4.962837655852727	0.2973568281938326	135
Dennd4c	0.26	0.3	0.26	0.61	1.0	-284.1561	-280.26935	-282.07553	-281.77618	0.0	-1.0335832	-10.820620974390232	2.6641011554623777	0.21365638766519823	97
Rps6	0.49	0.28	0.28	0.69	0.93	-1292.7347	-1245.2765	-1262.4648	-1277.2743	0.0	-6.714388	-7.086306057259952	5.307048875097853	0.9911894273127754	450
Acer2	0.1999999999999999	0.27	0.1999999999999999	0.66	1.0	-11.641726	-11.45533	-11.560019	-11.531363	0.0	-0.047930043	-14.939890923002782	0.78431043199401	0.004405286343612335	2
Mllt3	0.4499999999999999	0.28	0.28	0.38	1.0	-261.42947	-257.504	-265.00165	-256.3715	0.0	-2.1966543	-11.027205028289396	4.857293904324082	0.1828193832599119	83
Focad	0.29	0.3299999999999999	0.29	0.68	0.9599999999999996	-119.8325	-117.0226	-117.3723	-118.36493	0.0	-0.63735646	-12.145402117469368	3.9882988875656906	0.06607929515418502	30
Hacd4	0.37	0.49	0.37	0.57	1.0	-509.27432	-494.6502	-501.87656	-502.3471	0.0	-3.0084515	-9.766532126067691	0.024743933508036164	0.42731277533039647	194
Klhl9	0.38	0.39	0.38	0.56	1.0	-510.8419	-486.27734	-498.42505	-498.7955	0.0	-5.2316794	-9.777682356340325	6.207542084081636	0.44493392070484583	202
Gm26566	0.46	0.25	0.25	0.68	0.9599999999999996	-7.8564577	-7.4946756	-7.96154	-7.3939185	0.0	-0.20087822	-15.603932143239623	1.6051453104766775	0.0022026431718061676	1
Gm49890	0.49	0.41	0.41	0.55	1.0	-72.39696	-72.55892	-72.77643	-72.28799	0.0	-0.047325347	-12.932861434147268	4.515957899698251	0.03524229074889868	16
Wincr1	0.48	0.27	0.27	0.52	1.0	-6.656118	-5.8397894	-6.6199546	-5.7179227	0.0	-0.407453	-15.588682636145691	1.4968614445821515	0.0022026431718061676	1
Mtap	0.35	0.34	0.34	0.55	1.0	-392.20856	-377.93204	-384.50693	-385.1106	0.0	-3.0826054	-10.268711365838268	0.786170083640024	0.33259911894273125	151
Cdkn2a	0.48	0.46	0.46	0.46	1.0	-12.773059	-12.468996	-12.964022	-12.3276415	0.0	-0.19344231	-14.929232567444256	2.091124776249691	0.004405286343612335	2
Cdkn2b	0.02	0.3	0.02	0.8	0.5999999999999999	-142.48639	-146.49919	-141.45276	-147.6201	1.0	2.2295432	-11.952253489336051	0.3092175814778484	0.09911894273127753	45
Tusc1	0.29	0.24	0.24	0.5	1.0	-265.96628	-256.09055	-258.70493	-261.45786	0.0	-1.9579831	-11.022842749467177	5.296237020348359	0.1696035242290749	77
Gm12655	0.43	0.22	0.22	0.54	1.0	-140.54959	-136.10315	-139.7692	-137.24234	0.0	-1.4363208	-12.031236280839115	1.6872503851644183	0.07929515418502203	36
Caap1	0.46	0.35	0.35	0.6	1.0	-224.02588	-220.3499	-221.85483	-222.00668	0.0	-0.87692547	-11.230218087465303	4.656473585512229	0.16519823788546256	75
Plaa	0.36	0.22	0.22	0.6	1.0	-332.40192	-325.90045	-330.59708	-328.37964	0.0	-1.746853	-10.51857232138088	2.1263404936997157	0.27312775330396477	124
Ift74	0.29	0.42	0.29	0.66	1.0	-350.2627	-339.19354	-342.72128	-346.47137	0.0	-1.6465497	-10.42962468979444	5.9640127118249255	0.2621145374449339	119
Mysm1	0.47	0.42	0.42	0.61	1.0	-506.62393	-479.4555	-494.78354	-490.42538	0.0	-7.03494	-9.793160863943038	2.1825833099768968	0.4647577092511013	211
Gm12703	0.26	0.31	0.26	0.67	0.9899999999999998	-47.51882	-46.861626	-46.972607	-47.407658	0.0	-0.04827795	-13.35547602860392	5.629461887847166	0.019823788546255508	9
Jun	0.26	0.4399999999999999	0.26	0.58	1.0	-1499.5553	-1438.7701	-1487.6906	-1450.6208	0.0	-21.25196	-7.192170006124817	3.11134698825923	0.9449339207048458	429
Junos	0.28	0.38	0.28	0.66	1.0	-14.585127	-13.336637	-14.177961	-13.637301	0.0	-0.41163534	-14.990581637658085	3.709493212837782	0.004405286343612335	2
Gm830	0.43	0.41	0.41	0.7	0.9	-141.60257	-135.76355	-139.02531	-137.869	0.0	-1.6214672	-11.970150004006596	0.942968057189475	0.07268722466960352	33
Fggy	0.34	0.43	0.34	0.58	1.0	-128.8403	-125.02913	-127.94322	-126.142715	0.0	-1.1715467	-12.105080113833576	3.1065887805338788	0.07048458149779736	32
Hook1	0.4	0.11	0.11	0.6	1.0	-22.730597	-23.880783	-22.757898	-23.924252	0.97626317	0.5183978	-14.360334410151165	1.968830073416287	0.006607929515418502	3
Cyp2j6	0.1999999999999999	0.34	0.1999999999999999	0.54	1.0	-67.70893	-66.7816	-68.053085	-66.258224	0.0	-0.6300338	-12.957877334573332	0.4723196577603064	0.03524229074889868	16
E130114P18Rik	0.4399999999999999	0.1	0.1	0.69	0.93	-49.395702	-48.848812	-48.824574	-49.51096	0.0	0.050055593	-13.436966964589953	1.2975411590640444	0.019823788546255508	9
Gm12676	0.3	0.37	0.3	0.48	1.0	-49.989246	-48.172405	-50.360554	-47.807915	0.0	-0.94734025	-13.35689567249237	2.249022649460306	0.01762114537444934	8
Nfia	0.39	0.48	0.39	0.66	1.0	-993.2739	-960.7484	-978.1022	-977.1304	0.0	-7.0110564	-8.06013282044096	2.7751870102349963	0.9074889867841409	412
Tm2d1	0.47	0.35	0.35	0.52	1.0	-508.98163	-490.93585	-505.88177	-495.16974	0.0	-5.9984274	-9.731385351506201	4.488693388102616	0.5198237885462555	236
Patj	0.25	0.49	0.25	0.55	1.0	-79.087234	-75.11115	-77.83139	-75.71291	0.0	-1.465449	-12.750954571797296	3.0931854139549095	0.039647577092511016	18
Kank4	0.38	0.44	0.38	0.62	1.0	-90.38865	-87.43202	-89.86245	-88.11253	0.0	-0.98850435	-12.637740784421098	1.0020570100063333	0.037444933920704845	17
Usp1	0.42	0.3199999999999999	0.3199999999999999	0.53	1.0	-435.22998	-422.46613	-431.9995	-425.63834	0.0	-4.165598	-10.061792727570607	5.009986254783242	0.3964757709251101	180
Dock7	0.29	0.47	0.29	0.52	1.0	-506.53897	-497.21054	-502.08026	-501.1197	0.0	-2.3535638	-9.781465102047012	2.9845729114304707	0.460352422907489	209
Gm12681	0.3399999999999999	0.35	0.3399999999999999	0.61	1.0	-11.877718	-11.362401	-11.44435	-11.60919	0.0	-0.11662022	-14.972912132689133	5.791749805403022	0.004405286343612335	2
Atg4c	0.31	0.4399999999999999	0.31	0.58	1.0	-147.72359	-142.63205	-145.28668	-144.38034	0.0	-1.4519534	-11.95015614241941	3.342009641494069	0.08370044052863436	38
Gm12689	0.44	0.49	0.44	0.49	1.0	-17.859797	-18.855465	-19.038033	-17.480177	0.0	-0.1648667	-14.604869821768935	4.523816006196241	0.006607929515418502	3
Alg6	0.47	0.48	0.47	0.53	1.0	-127.13031	-122.06565	-125.10368	-123.80935	0.0	-1.442275	-12.055887564718585	1.6370395210685214	0.07488986784140969	34
Itgb3bp	0.4599999999999999	0.48	0.4599999999999999	0.55	1.0	-197.15926	-193.01778	-197.92317	-192.83374	0.0	-1.8785475	-11.43149163993496	5.222558517726345	0.12334801762114538	56
Efcab7	0.43	0.47	0.43	0.61	1.0	-70.03639	-67.4959	-69.405525	-68.05127	0.0	-0.86212784	-12.98233920785768	3.4490365136782644	0.03524229074889868	16
Pgm1	0.45	0.47	0.45	0.47	1.0	-143.60608	-135.411	-138.99573	-138.88008	0.0	-2.0524747	-11.924647038399325	3.4333391346450832	0.08590308370044053	39
Ror1	0.49	0.26	0.26	0.58	1.0	-319.4859	-316.3072	-317.8527	-317.46463	0.0	-0.87782675	-10.662938133621369	4.692498977494903	0.23348017621145375	106
Gm12701	0.4499999999999999	0.3	0.3	0.57	1.0	-8.710307	-8.324578	-8.810302	-8.172598	0.0	-0.23352414	-15.567654437132981	4.697097912544007	0.0022026431718061676	1
Ube2u	0.34	0.38	0.34	0.6	1.0	-6.783207	-7.0775633	-6.9048586	-6.866292	0.5867198	0.03608338	-15.600553011975926	4.626440129875354	0.0022026431718061676	1
Cachd1	0.0999999999999999	0.48	0.0999999999999999	0.67	0.9899999999999998	-180.65202	-176.8863	-176.49364	-179.40889	0.0	-0.53988606	-11.706732061141063	6.208160816753618	0.10352422907488987	47
Raver2	0.16	0.4399999999999999	0.16	0.59	1.0	-52.93786	-51.153748	-51.009686	-52.728283	0.0	-0.09101755	-13.256945191798293	6.202876911140816	0.022026431718061675	10
Jak1	0.38	0.5	0.38	0.63	1.0	-641.8942	-619.44696	-633.32263	-626.8493	0.0	-6.5339265	-9.229512117425903	3.781472900656128	0.6101321585903083	277
E130102H24Rik	0.4399999999999999	0.3299999999999999	0.3299999999999999	0.65	1.0	-231.519	-224.32243	-231.53867	-226.01094	0.0	-2.3921185	-11.181019896450264	4.859607192581185	0.16079295154185022	73
0610043K17Rik	0.3	0.18	0.18	0.63	1.0	-39.47372	-38.16526	-38.407948	-39.221783	0.0	-0.109415226	-13.645977798108131	0.942707853962025	0.01762114537444934	8
Ak4	0.44	0.26	0.26	0.58	1.0	-12.69047	-12.81413	-13.002978	-12.4896755	0.0	-0.08720382	-14.970413388839177	4.663990726539224	0.004405286343612335	2
Leprot	0.48	0.31	0.31	0.57	1.0	-510.2587	-496.1957	-506.51978	-499.75864	0.0	-4.5601187	-9.766644144984781	5.437131868856662	0.47577092511013214	216
Lepr	0.28	0.49	0.28	0.43	1.0	-52.08889	-50.336266	-52.09893	-49.992012	0.0	-0.91066253	-13.310232718941561	6.033812155316474	0.022026431718061675	10
Pde4b	0.4599999999999999	0.15	0.15	0.55	1.0	-647.18036	-639.3894	-651.15845	-635.6845	0.0	-4.9925838	-9.249712847959483	1.461503361909707	0.5726872246696035	260
Sgip1	0.3299999999999999	0.07	0.07	0.7	0.9	-306.9411	-301.16486	-304.63095	-305.82916	0.0	-0.48290873	-10.717263434688904	1.301774150032255	0.23127753303964757	105
Wdr78	0.18	0.47	0.18	0.57	1.0	-61.3375	-59.70058	-61.58137	-60.189556	0.0	-0.49854636	-13.047023804612149	0.06790261054753355	0.030837004405286344	14
Mier1	0.48	0.47	0.47	0.55	1.0	-743.105	-732.43555	-739.57605	-736.0773	0.0	-3.0520957	-8.81586138604239	4.364114084706005	0.748898678414097	340
Slc35d1	0.3	0.3299999999999999	0.3	0.6	1.0	-266.89853	-258.3611	-261.7048	-261.8165	0.0	-2.207098	-10.974178363929846	3.5806498594667793	0.17841409691629956	81
Oma1	0.38	0.21	0.21	0.4	1.0	-237.98755	-239.42148	-239.04068	-238.25175	0.2655628	0.11474318	-11.099289134897496	1.4508375310093031	0.1696035242290749	77
Prkaa2	0.29	0.31	0.29	0.62	1.0	-291.9205	-284.90762	-289.83075	-286.75357	0.0	-2.2439697	-10.81438742708676	2.3147386546904323	0.22246696035242292	101
Plpp3	0.3399999999999999	0.19	0.19	0.64	1.0	-832.5843	-805.4557	-812.2157	-825.8955	0.0	-2.904901	-8.721281131672662	1.243005338390275	0.7048458149779736	320
Gm12728	0.32	0.45	0.32	0.56	1.0	-6.7587037	-6.944566	-6.8428164	-6.8574934	0.5474459	0.04290382	-15.616607429782526	3.120469720848039	0.0022026431718061676	1
Usp24	0.4499999999999999	0.43	0.43	0.52	1.0	-312.29443	-305.62622	-309.75024	-308.1516	0.0	-1.7992048	-10.706822239670167	1.2315779835729375	0.2356828193832599	107
Dhcr24	0.3399999999999999	0.3	0.3	0.56	1.0	-199.19458	-195.6128	-198.05743	-196.41602	0.0	-1.2067152	-11.41948596794845	5.425883447153738	0.13215859030837004	60
Ttc22	0.12	0.3399999999999999	0.12	0.63	1.0	-24.371294	-24.320377	-23.911118	-24.826637	0.0	0.19775306	-14.353309614263532	3.4208672996431986	0.00881057268722467	4
