gene	bin_0	bin_1	bin_2	bin_3
Zfp827	3.0136073	2.9300745	3.276499	2.895826
Gpr155	3.285282	3.294028	2.910047	2.9815824
Wdr38	0.44679075	1.01316	0.60734206	0.7222806
Cenpt	2.7015288	2.194555	2.7508907	2.2008696
Cnih1	3.6376681	3.3958554	3.5378346	3.5249522
Ggct	3.11271	2.6134331	3.0696483	2.9243548
Gm13547	0.44657883	0.1959673	0.7816782	-0.35474038
Vmn1r224	0.14363396	0.4163443	0.7732464	-0.23908252
Mis18bp1	0.6017907	0.72399867	1.3712326	0.48352402
Tead4	0.10040742	0.42231557	0.7684949	0.77154416
Gm16214	0.43153968	-0.22290286	0.0932108	0.42732424
Zim1	0.84202456	-0.82666457	1.0349859	0.11402513
Gm49893	0.76142615	-0.4990068	0.60057735	0.13192901
Stx2	3.1117246	3.116044	3.2477558	2.9739423
Rabl3	2.8482254	2.454126	2.9367754	2.3170326
Apc2	1.1697906	0.96351916	1.4115223	1.3124061
Nfic	3.8222141	3.4665189	3.8742788	3.369561
Rab3gap2	3.2232668	3.344787	3.258031	3.2480693
Naglu	3.473189	3.1087878	3.2019799	3.2817435
Gm44837	1.4983369	0.7223983	1.4484904	0.63215727
Zfp526	2.315959	2.1241086	2.460402	1.9740565
Tap1	2.69283	2.4605067	2.7564318	2.5924342
Tmx3	3.4894028	3.5093725	3.463623	3.3656104
Rec8	0.69381523	-0.36638865	0.73620296	0.27176854
Gm15556	0.14395228	0.50940657	0.23006284	0.35919145
Slc9a3	0.3362279	0.2852502	0.42226624	0.30536276
Pdzd8	3.3129392	3.418151	3.3631582	3.0713542
Grin3a	0.94536036	1.2203236	-0.09625513	0.8147675
Eml2	3.7775116	3.1485863	3.6801343	2.968501
Raet1d	0.26605594	-0.09676113	-0.25388235	0.10204958
Tbc1d13	2.9396758	2.671144	2.7482133	2.375124
Actc1	1.0298524	1.0392396	2.4380033	-1.4919319
Misp	0.8812106	0.9894584	-1.4019068	0.876308
Ncs1	3.6381521	2.938226	3.2598748	3.063759
Zfp771	3.6083665	3.705898	3.5703413	3.4210076
Tpgs1	3.3456714	3.5040581	3.542575	3.4692352
Mansc1	3.0285985	2.6046052	2.9594991	2.0884697
Klhl8	3.1962907	2.6501484	3.1738975	2.4611676
Stxbp5	3.1808429	2.7984316	3.222861	2.7595263
9930012K11Rik	1.9134754	1.3559847	1.3417904	1.081846
Gm3435	2.02122	1.8772274	2.025731	1.5975171
Tmem203	3.1780596	3.4232082	3.303921	3.1032557
Washc2	3.2426057	3.3542974	3.3093793	3.3573325
Gm15880	0.8062096	1.2161318	0.9822275	1.2137376
AA986860	2.180474	1.8720934	2.3841906	1.6604811
Cd3g	1.0044497	-0.2827691	1.1816276	-0.82471895
Nr3c2	3.0960665	2.9419785	3.2827108	2.5506346
Setd7	3.6320336	3.6232297	3.619553	3.400544
Rasgrf2	2.2928486	1.8214518	2.3454175	1.4268208
Gm17638	0.90412927	0.67842656	1.0012219	0.3214896
Pfkm	3.438682	2.9861038	3.5904052	2.6310675
Cnnm2	3.062812	2.826367	3.1990986	2.772782
Gm16982	0.032972675	0.65049815	-0.24400507	0.39480567
Tarsl2	2.7953405	2.807643	2.945926	2.4828005
Gm10130	2.3174884	2.2950654	2.8041	1.9951632
Gm38336	1.1530945	1.0479176	1.9369097	1.0236049
Setdb2	2.5721452	2.240632	2.6283593	2.3952882
Sh2d3c	1.7222587	1.0331374	1.5435408	1.3422196
Cxcr2	0.95293486	0.72552705	1.2908257	0.56044036
Vamp8	3.7503018	3.7494931	3.8021054	3.503485
Gm5105	0.3384239	-0.042139508	-0.10562785	-0.022613559
Ostc	3.7802968	3.5608106	3.6738505	3.5652494
Csf3	0.0077218413	-0.10565048	1.2620575	0.41801655
Polr2b	3.277922	3.283809	3.2932544	3.3021524
Ghrl	0.9830826	0.68694085	0.55604327	-0.40774217
Gk	3.4389396	3.266577	3.6636896	3.0159876
B430212C06Rik	0.68756276	0.36105102	-0.17826162	0.20915654
Rnf8	3.4001102	3.3175704	3.3078344	3.062889
Gal3st3	3.2274652	3.0863736	3.267813	2.840677
Col4a5	3.8113375	3.7494488	3.7435148	3.7430828
AI987944	3.2101464	3.2161348	3.265108	2.7378852
Myo5a	2.94147	2.8193758	2.9932814	2.8197944
Zfp618	-0.078469574	-0.034538195	-0.113951944	0.3397987
Jdp2	3.326797	2.7540214	3.1615632	2.4036787
Ptk2	3.2331753	3.0643642	3.4951284	3.152624
Tmem192	2.9496644	2.9777327	3.1629105	2.553052
Ccn5	3.4190874	-0.034668148	3.9694307	3.2195108
4930430F08Rik	3.284928	3.2436898	3.1043396	2.66663
Hltf	3.307508	3.2832768	3.2132769	3.220334
C1ql1	1.0178543	0.15224712	0.32955456	0.378081
Ebf2	0.46460545	0.40229723	0.8224076	-0.2955903
Afdn	3.184505	3.4885259	3.242625	3.1771617
Pan2	2.9526942	2.5997183	3.0128853	2.43233
Tmem81	2.4449658	1.9037758	2.3573449	1.7943175
Igf2bp2	2.2588682	2.287228	2.5610795	2.2284997
Actl7b	0.79579276	0.69332796	0.70394397	-0.07792383
Ran	3.8027427	3.55573	3.8143644	3.4596353
Mmd	3.5720685	3.1172445	3.4164505	3.1935272
Ppil4	3.5485833	3.5655518	3.4129362	3.3506198
Dpf2	3.4500203	3.0391898	3.4113848	2.965117
Mocs3	2.9866202	2.774068	3.1075306	2.5850928
Ndrg3	3.3444035	3.139356	3.2744367	3.1471286
Gm5577	1.1624899	0.8591036	1.2631123	1.2794889
Gm15232	1.1875412	0.6596177	0.77155995	-0.095675185
Rbm45	2.9503925	2.6613524	2.9985187	2.4524717
Cxxc5	3.706121	3.2691414	3.4756296	2.7493849
Ahctf1	3.4048102	3.3329058	3.2835574	3.2917979
Gm10863	1.4778144	1.3660142	1.4266933	0.06562721
Gm32389	0.591643	0.76881504	1.158939	0.46986264
Me1	3.5582714	3.22383	3.6560178	3.1912456
Rin3	3.0251417	2.5788229	3.108275	2.3046665
Aldh5a1	2.7539742	2.5117505	2.884903	1.9719497
3110001I22Rik	2.2882392	1.3818306	2.450933	1.633698
Has2	-0.19067399	0.3527373	-0.25186086	-0.06081909
Shox2	0.52967	0.0076453052	0.86612874	0.758361
1810062G17Rik	2.2461164	2.324724	2.6828601	2.0068188
Cntrl	3.077196	3.1897578	3.2251308	3.0131369
Slc51a	1.3866364	1.0134337	0.24763635	1.1699783
E130114P18Rik	1.7288667	1.4602205	2.0031116	1.7409579
Serpina9	0.9871566	0.55874527	0.99519104	-0.7806801
Prnp	3.2722318	3.4780016	3.3390431	3.385457
Gm15535	2.2135718	1.9228675	2.030244	1.590608
Csnk2b	3.7368839	3.5509803	3.7706323	3.3315265
Smim22	0.24647576	-0.095185705	-0.25019825	0.3878125
Naa16	3.455864	2.917552	3.194075	2.9895544
Mrpl21	3.4755034	3.5617752	3.659473	3.3190773
Zfp383	2.9768522	2.6546397	2.8764622	2.5911467
Cib3	0.2887874	-0.16056412	0.48908663	-0.10757054
Gm32834	-0.075454324	-0.04328525	0.19623937	-0.033204325
9130024F11Rik	1.6231024	1.2621357	1.6992875	1.3405046
Gm49194	0.5361207	0.67649895	0.651762	0.3464495
Atrn	3.344211	3.0148356	3.3444784	3.1211555
Ubap1	3.3235729	2.919065	3.47304	2.7186012
Gm19522	0.98113424	1.0939032	1.551944	0.54552454
Mcm7	3.0564225	2.8666906	2.929922	2.5882149
Rwdd3	2.2830436	2.1700613	2.559101	1.8680333
Slc16a4	2.3466315	1.7953601	2.3668494	1.8140919
Fbxo21	3.2982016	3.1129606	3.2290676	2.8689926
CAAA01066123.1	1.8541244	1.3695415	2.058134	0.6461404
Dnmt1	3.2499945	3.1498263	3.211422	2.8805523
Lrrc59	3.595351	3.036458	3.4706163	3.1345775
Pus1	3.1133814	2.3993642	3.0308878	2.5895054
