gene	log_min	log_max
Xkr4	-17.009304	-13.555427
Gm19938	-17.009304	-13.555427
Mrpl15	-11.54972	-8.095841
Lypla1	-11.856013	-8.402135
Tcea1	-10.740209	-7.2863307
Rgs20	-17.009304	-13.555427
Atp6v1h	-11.788949	-8.335071
Rb1cc1	-11.032954	-7.5790763
4732440D04Rik	-13.608108	-10.154229
Pcmtd1	-10.786729	-7.332851
Gm26901	-17.009304	-13.555427
Rrs1	-12.590465	-9.136586
Adhfe1	-14.064866	-10.610988
Mybl1	-14.236716	-10.782838
Vcpip1	-12.025699	-8.57182
Sgk3	-13.039013	-9.5851345
Snhg6	-11.696099	-8.242221
Tcf24	-17.009304	-13.555427
Cops5	-11.353313	-7.8994355
Cspp1	-12.374576	-8.920697
Arfgef1	-11.75181	-8.297932
Cpa6	-16.316156	-12.862279
Prex2	-11.414594	-7.960716
Sulf1	-10.5974865	-7.1436086
Ncoa2	-12.543397	-9.089519
Tram1	-11.339424	-7.885546
Lactb2	-12.364914	-8.911036
Eya1	-17.009304	-13.555427
Gm9947	-17.009304	-13.555427
Msc	-17.009304	-13.555427
Terf1	-12.520669	-9.066791
Sbspon	-14.81208	-11.358202
Rpl7	-8.307293	-4.8534155
Rdh10	-14.176091	-10.722213
Stau2	-13.425786	-9.971908
Ube2w	-11.827521	-8.373643
Eloc	-10.602425	-7.1485467
D030040B21Rik	-17.009304	-13.555427
Tmem70	-12.126503	-8.672625
Ly96	-13.248105	-9.794227
Jph1	-13.512797	-10.058919
Gdap1	-16.316156	-12.862279
Pi15	-9.830759	-6.376881
Gm28154	-14.70672	-11.252842
Gm16070	-15.399867	-11.945989
Crispld1	-11.503973	-8.050095
Tfap2b	-11.388904	-7.9350257
Mcm3	-13.320426	-9.866548
Paqr8	-14.064866	-10.610988
Efhc1	-16.316156	-12.862279
Tram2	-12.299775	-8.845897
Tmem14a	-12.91496	-9.4610815
Gsta3	-15.2175455	-11.763667
Kcnq5	-15.063395	-11.609516
Gm27028	-17.009304	-13.555427
Gm29107	-14.929863	-11.475985
Ogfrl1	-12.189023	-8.735145
B3gat2	-15.2175455	-11.763667
Smap1	-10.536959	-7.083081
Sdhaf4	-11.696099	-8.242221
Fam135a	-12.509496	-9.055617
Col9a1	-15.399867	-11.945989
Col19a1	-14.70672	-11.252842
Lmbrd1	-11.142837	-7.6889586
Adgrb3	-15.623011	-12.169132
Phf3	-11.043159	-7.5892806
Ptp4a1	-14.929863	-11.475985
Ptp4a1-1	-17.009304	-13.555427
Prim2	-13.398387	-9.944509
Rab23	-12.384332	-8.930453
Bag2	-11.833156	-8.379277
Zfp451	-12.09665	-8.642772
Bend6	-14.301254	-10.847376
Dst	-9.151051	-5.6971726
Gm26788	-16.316156	-12.862279
Gm37233	-15.2175455	-11.763667
Ccdc115	-12.134108	-8.680229
Imp4	-12.520669	-9.066791
Arhgef4	-14.81208	-11.358202
Fam168b	-11.615678	-8.161799
Plekhb2	-13.058062	-9.604183
1110002O04Rik	-16.316156	-12.862279
Hs6st1	-13.345743	-9.891865
Uggt1	-11.706	-8.252122
Arid5a	-11.772863	-8.318985
4930403P22Rik	-14.444356	-10.990478
Kansl3	-12.180991	-8.727113
Lman2l	-12.590465	-9.136586
Cnnm4	-13.2957325	-9.841854
Cnnm3	-12.966253	-9.512375
Gm38033	-17.009304	-13.555427
Ankrd23	-14.70672	-11.252842
Ankrd39	-12.384332	-8.930453
Sema4c	-13.453957	-10.000078
D430040D24Rik	-15.063395	-11.609516
Fam178b	-14.176091	-10.722213
Cox5b	-9.810373	-6.3564954
Actr1b	-11.444784	-7.9909062
4933424G06Rik	-17.009304	-13.555427
Tmem131	-12.025699	-8.57182
Gm38115	-14.524399	-11.07052
Vwa3b	-15.623011	-12.169132
Inpp4a	-11.788949	-8.335071
Coa5	-12.6655	-9.211621
Unc50	-11.07706	-7.623182
Mgat4a	-11.388904	-7.9350257
2010300C02Rik	-14.524399	-11.07052
Tsga10	-12.819651	-9.365772
Gm26805	-16.316156	-12.862279
Lipt1	-14.370248	-10.916369
Mitd1	-12.566653	-9.112775
Mrpl30	-10.86942	-7.415542
Txndc9	-11.28572	-7.831842
Eif5b	-10.0008	-6.546922
Rev1	-12.718845	-9.264967
Aff3	-12.789797	-9.335918
Gm16152	-17.009304	-13.555427
Lonrf2	-14.929863	-11.475985
Chst10	-14.81208	-11.358202
Pdcl3	-10.20137	-6.7474923
Npas2	-11.7414465	-8.287568
Rpl31	-9.091768	-5.637891
