gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Mpnd	0.42	0.4399999999999999	0.42	0.44	1.0	-410.5843	-393.88568	-405.14877	-397.82007	0.0	-5.543431	-10.114228523980067	5.674861199523974	0.29320388349514565	151
Sh3gl1	0.38	0.47	0.38	0.63	1.0	-354.66272	-347.55634	-352.07355	-350.37646	0.0	-1.8614968	-10.285788970140132	3.436092894133259	0.26407766990291265	136
Chaf1a	0.43	0.2	0.2	0.56	1.0	-45.43148	-43.799484	-44.641937	-44.217983	0.0	-0.5270151	-13.35195113709425	1.9474098745018287	0.017475728155339806	9
Ubxn6	0.41	0.43	0.41	0.48	1.0	-522.1923	-518.7563	-523.07874	-517.93085	0.0	-1.8507348	-9.649677476079107	3.9379511674014562	0.4116504854368932	212
Hdgfl2	0.48	0.36	0.36	0.61	1.0	-331.54266	-314.18216	-324.32413	-323.17188	0.0	-3.6353872	-10.487410218247167	4.890492157282063	0.20776699029126214	107
Plin4	0.27	0.24	0.24	0.67	0.9899999999999998	-605.8493	-592.81757	-603.8786	-594.6078	0.0	-4.8821282	-9.388314997460018	2.3481839532995967	0.45048543689320386	232
Lrg1	0.16	0.36	0.16	0.54	1.0	-32.75311	-32.708984	-32.54888	-32.857185	0.0	0.0451998	-13.679271331268621	0.41980721874588767	0.011650485436893204	6
Sema6b	0.44	0.35	0.35	0.54	1.0	-7.463435	-7.444336	-7.5841765	-7.284349	0.0	-0.07777615	-15.347356020377864	4.776343461916975	0.001941747572815534	1
Mydgf	0.42	0.4399999999999999	0.42	0.53	1.0	-650.0631	-632.5602	-642.6053	-640.7344	0.0	-4.0514183	-9.193971619259901	3.8071656033713923	0.5592233009708738	288
Dpp9	0.43	0.37	0.37	0.54	1.0	-240.38773	-233.43196	-238.02441	-235.04813	0.0	-2.3189585	-10.995480379562975	2.1147282133483856	0.13592233009708737	70
Fem1a	0.48	0.4	0.4	0.61	1.0	-209.69662	-201.64682	-208.97368	-202.32654	0.0	-3.200788	-11.230176696323898	4.526906866357954	0.11650485436893204	60
Ticam1	0.3299999999999999	0.39	0.3299999999999999	0.31	1.0	-96.63342	-94.16869	-97.85257	-92.2468	0.0	-1.9050846	-12.348662744903475	6.02362287691842	0.04466019417475728	23
