gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
IRF2 (mouse),25,Itga4;Dlx6;Syt12;Phactr3;Adamts8;Mlf1;Lrrtm3;Kank4;Mylk4;Capsl;Dynlt1b;Ddx17;Asb5;Fmo3;Ankrd23;Dhcr24;Wasf1;Smpdl3b;Hist1h4d;Tsc22d3;Fibin;Mapre2;Myoz2;Scg5;Pde4b,0.434333,-0.224995,-0.327559,-0.092342,-0.093449,-0.179906,0.015626,0.209338,0.109908,0.297047,0.109107,0.029191,0.20379
JUN (mouse),52,Cdca8;Sult1a1;Dusp1;Dusp8;Mecom;Dlx6;Ccdc85b;Hhip;Actr3b;Nexn;Rem1;Gem;Cytl1;Gng2;Nr1d1;Gja4;Phf19;Cdkn2b;Sncaip;Nampt;Pf4;Ablim1;Frmd4a;Dnajb4;Phactr3;Adamts1;Mthfd1l;Mlf1;Vwc2;Trp53bp1;Idi1;Dbp;Wee1;Hlf;Rbm3;Stard4;Tmc7;Hat1;Mmab;Tnfrsf12a;Lmcd1;Per1;Dpep1;Galnt6;Hspa1a;Cys1;Banp;Aldoa;Adrb1;Cilp2;Espn;Ncald,0.433941,-0.265895,-0.33875,-0.192978,0.040065,-0.0209,0.113256,0.168045,0.10659,0.233788,0.057785,-0.00896,0.114415
ETV4 (mouse),49,Dpysl2;Sphk1;Mmp14;Trim58;Kcnk3;Itgb3;Tcap;Htra4;Lasp1;Grk5;Tef;Fbxl22;Kitl;Usp2;Hmgcs2;Phactr3;Adamts8;Apcdd1;Ifit3;Tlr2;Clock;Hlf;Stard4;Upb1;Gbp5;Abtb2;Bdnf;Aph1a;Arsg;Anln;Socs2;Per1;Ndrg1;Parl;Agtr1a;Fmo3;Sema4a;Enkur;Acss1;Cyp4f14;Rhobtb1;Glrx;Tsc22d3;Rpusd4;Sgk1;Npy1r;Espn;Ect2l;Nfkbia,0.416085,-0.207158,-0.277657,-0.147798,-0.042778,-0.109433,0.013561,0.208927,0.1427,0.266428,0.041009,-0.024377,0.097962
KLF11 (human),72,Ngef;Hes1;Hes6;Gbp5;Pdgfb;Dusp8;Bhlhe40;Lag3;Rasl10b;Zbtb16;Cdc25b;Ly6e;Slc25a34;Pim3;Marcksl1;Ntrk3;Cirbp;Mfsd10;Mapk12;Ppp1r1b;Wnk4;Rcor2;Ifi30;Tspan4;Rrad;Tcap;Nxph3;Asb10;Inhbb;Irf7;Rbm24;Prr7;Cck;Asb2;Serpine1;Flrt1;Mthfr;Nr1d1;Nr1d2;Cyb561;Rnf152;Timp1;Dhrs3;Gpr146;Adamtsl5;Sbsn;Igfbp6;Fam107a;Abhd11;Ccdc42;Phactr3;Selenbp1;Cebpb;Tnni3;Hsbp1l1;Pfn1;Cbfa2t3;Dpf1;Igsf8;Acvrl1;Adrb1;Mapre2;Nol3;Ephx1;Nr4a2;Espn;Nr4a1;Hspb7;Dbp;Cldn7;Thra;Camk2b,0.41313,-0.200121,-0.257133,-0.145033,0.112573,0.07189,0.158826,0.213009,0.168901,0.272541,-0.125461,-0.169412,-0.063951
KLF4 (human),77,Ngef;Hes1;Hes6;Gbp5;Hyou1;Pdgfb;Epb41l2;Dusp8;Bhlhe40;Pgm2l1;Lag3;Rasl10b;Zbtb16;Cdc25b;Ly6e;Slc25a34;Gmnn;Pim3;Marcksl1;Ntrk3;Cirbp;Mfsd10;Mapk12;Ppp1r1b;Wnk4;Rcor2;Ifi30;Tspan4;Rrad;Tcap;Nxph3;Asb10;Inhbb;Irf7;Rbm24;Prr7;Cck;Asb2;Serpine1;Flrt1;Mthfr;Nr1d1;Nr1d2;Cyb561;Rnf152;Timp1;Dhrs3;Gpr146;Adamtsl5;Sbsn;Igfbp6;Fam107a;Abhd11;Ccdc42;Phactr3;Selenbp1;Cebpb;Tnni3;Hsbp1l1;Pfn1;Cbfa2t3;Dpf1;Igsf8;Acvrl1;Adrb1;Mapre2;Nol3;Ephx1;Nr4a2;Espn;Nr4a1;Hspb7;Dbp;Lonrf1;Cldn7;Thra;Camk2b,0.403902,-0.193375,-0.248836,-0.145327,0.088245,0.048119,0.138831,0.210527,0.164209,0.266479,-0.105396,-0.153659,-0.041197
Nkx2-5 (mouse),9,Prex2;Hsph1;Ly6e;Ip6k2;Apcdd1;Ntn4;Net1;Hhip;Gabrq,0.402568,-0.190043,-0.360396,-0.019208,-0.105332,-0.261254,0.037866,0.082851,-0.064699,0.206527,0.212525,0.066385,0.351345
AP1 (mouse),8,Flrt1;Ephx1;Sqle;Arsg;Tsc22d3;Phactr3;Faim2;Sertad4,0.396802,-0.121109,-0.300522,0.030233,-0.198947,-0.363241,0.012405,0.197855,0.023348,0.374783,0.122202,-0.042465,0.269641
RXRA (human),48,Tmem82;Upb1;Sult1a1;Cdkl5;Lrg1;Rnaseh2b;Synpo2l;Adamts12;Aph1a;Mfsd10;C4b;Actr3b;Cd14;Tfap4;Id1;Sec14l1;Socs2;Per1;Nexn;Fdps;Fam98b;Trib3;Hnrnpm;Hspa1b;Serpine1;Nr1d1;Nr1d2;Gnl1;Rnf145;Gramd1c;Lyst;Fkbp5;Usp2;Rcan1;Pir;Xirp1;Uba52;Smpdl3b;Lman2l;Ifit3;Banp;Krt18;Aldoa;Fibin;Mpp2;Gdf15;Rasd2;Idi1,0.391647,-0.211529,-0.27932,-0.135148,-0.050281,-0.104466,0.007292,0.180119,0.135761,0.246808,0.081691,0.025548,0.135036
MYC (mouse),73,Abcb1b;Bhlhe40;Bhlhe41;Ccdc85b;Myo10;Actn2;Crispld2;Fam78b;Net1;Neu2;Plb1;Myocd;Gfod1;Homer2;Tef;Fbxl22;Bloc1s1;Trp53inp1;Gnl1;Snrpn;Fkbp5;Usp2;Arrdc4;Zdhhc23;Cdh16;Fgfr2;Wee1;Defb25;Ngef;Pdxk;Hes1;Klf11;Klf15;Lxn;Lefty1;Hat1;Mapkapk3;Pfkfb3;Bdnf;Ky;Rsad1;Ppp1r3b;Commd8;Ppp1r1b;Rassf3;Socs2;Per1;Mnt;Irf7;Mthfr;Agtr1a;Gipc2;Cyb561;Rnf145;Zfp146;Dgkg;Olfr1034;Igfbp2;Cyp4f14;Inmt;Klf4;Klf9;Rhebl1;Pfn1;Eif5a2;Chac1;Manf;Patz1;Rpusd4;Elmo1;Tmem108;Ect2l;Hspa8,0.384653,-0.198612,-0.255749,-0.143412,0.001176,-0.04871,0.050205,0.186041,0.140836,0.234996,0.011396,-0.039421,0.06445
Sox17 (mouse),15,Ablim1;Pim3;Bdnf;Phactr3;Pdk4;Arl6ip5;Rhou;Dpep1;Nol3;Arhgef26;Mt1;Fam71a;Il15ra;Colec11;Rnd3,0.383318,-0.200439,-0.316133,-0.06959,0.094018,-0.028053,0.203457,0.182879,0.089077,0.283898,-0.076458,-0.176326,0.037535
