gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
SNAI2 (human),8,Napsa;Ccr2;Atad2b;Tef;Nr1d1;Plac8;Lsp1;Dbp,0.507755,-0.259375,-0.508574,0.003461,-0.103049,-0.384672,0.191048,0.24838,-0.058648,0.534271,0.114045,-0.142393,0.358749
SNAI1 (human),8,Napsa;Ccr2;Atad2b;Tef;Nr1d1;Plac8;Lsp1;Dbp,0.507755,-0.259375,-0.508574,0.003461,-0.103049,-0.384672,0.191048,0.24838,-0.058648,0.534271,0.114045,-0.142393,0.358749
TCF3 (human),8,Napsa;Ccr2;Atad2b;Tef;Nr1d1;Plac8;Lsp1;Dbp,0.507755,-0.259375,-0.508574,0.003461,-0.103049,-0.384672,0.191048,0.24838,-0.058648,0.534271,0.114045,-0.142393,0.358749
CBEPB (human),20,Mmp12;Ccnb1ip1;Plac8;Nfib;Ldlr;Hepacam2;B3galnt1;Cdc42ep3;Ccr2;Samd9l;Rgs1;Mmp9;Filip1;Cdk14;Phlpp2;Tmem144;Gramd3;Klf9;Sgk1;Dnase1l3,0.497864,-0.014873,-0.222027,0.232031,0.091798,-0.142205,0.324904,-0.287394,-0.455822,-0.065624,0.21047,-0.016977,0.423883
MEF2A (human),23,Mmp13;Atad2;Ndufaf4;Ccnb1ip1;Cytip;Tef;Plac8;Nfib;Ldlr;Polr2d;Hepacam2;Lpl;Cxcl10;Psmg1;Ccdc115;Rgs1;Filip1;Cdk14;Gramd3;Klf9;Sgk1;Adrb2;Hist1h1b,0.47722,-0.056819,-0.238548,0.150521,0.159188,-0.022313,0.367136,-0.289794,-0.449222,-0.083553,0.187426,-0.013377,0.439617
POU1F1 (mouse),14,Mov10;Fn1;Ecm1;Gem;Plac8;Mfap4;Rbm3;Cadm1;Tlr13;Psmg1;Gngt2;Eln;Sema4b;Ebf1,0.471802,-0.176679,-0.454118,0.102426,0.295123,0.043525,0.562199,-0.092538,-0.361769,0.213734,-0.025907,-0.233439,0.243923
SND1 (human),21,Fn1;Cxcl10;Srbd1;Il1b;Cd55;Cd69;Inppl1;Odf2l;Ccnb1ip1;Gem;Mkrn2;Rgs1;Mmp9;Tef;Gramd3;Ldlr;Phyhd1;Aqp1;Ifit2;Cmpk2;Zwilch,0.464366,0.07354,-0.156922,0.270618,-0.045477,-0.273529,0.18005,-0.246215,-0.433854,-0.046005,0.218151,-0.000249,0.421813
BCL6 (human),14,B3galnt1;Fn1;Acot13;Cxcl10;Pim1;Cdc20;Il1b;Socs3;Bccip;Cuedc1;Ldlr;Nes;Cx3cr1;Sgk1,0.445516,0.193731,-0.038846,0.410518,-0.107403,-0.296713,0.141765,-0.251785,-0.459511,-0.050303,0.165456,-0.069742,0.484035
PPARG (human),22,Lars2;Srbd1;Ccnb1ip1;Tef;Tk1;Cd79a;Zwilch;Napsa;Bccip;Samd9l;Gramd3;Sgk1;Cdc20;Gem;Nr1d1;Ldlr;Tspan4;Atad2b;Kif2c;Gpx7;Ebf1;Gdf15,0.440281,0.14087,-0.121063,0.348948,0.197694,-0.039656,0.403066,-0.095978,-0.267275,0.11534,-0.242587,-0.40935,-0.035125
HINFP (human),23,Cdc20;Rrad;Tef;Nr1d2;Plac8;Nfib;Mfap4;Aqp1;Birc5;Pim1;Tspan4;Per3;Atad2b;Samd9l;Rgs1;Eln;Phlpp2;Gramd3;Cd163;Lsp1;Ebf1;Parp14;Hist1h1b,0.394203,-0.190177,-0.387103,0.006937,0.060778,-0.135033,0.236518,-0.074627,-0.261741,0.149157,0.204026,0.023528,0.413216
NFKB1 (mouse),23,Mov10;Dusp2;Mmp12;Etfa;Rrad;Nfib;Aqp1;Ifit2;Zwilch;Dbp;Napsa;Zfp202;Socs3;Per3;Filip1;Eln;Parp14;Pdgfc;Bhlhe41;Cd209g;Gdf15;Slfn9;Slfn8,0.372536,0.042793,-0.173902,0.278402,-0.038784,-0.240277,0.166243,-0.188273,-0.380875,0.025008,0.184263,-0.015533,0.412055
SRF (human),22,Dusp2;Mmp13;Etfa;Tef;Plac8;Aqp1;Dbp;Napsa;Mmp9;Gramd3;Parp14;Fn1;Cdc20;Ube2c;Cadm1;Psmg1;Cd69;Rgs1;Phlpp2;Klf9;Dnase1l3;Vsig4,0.367169,-0.226631,-0.411659,-0.043662,0.140538,-0.057368,0.362817,0.069918,-0.120146,0.303553,0.016174,-0.172197,0.244055
FOXC1 (human),63,Kcnj2;Cd7;Nfib;Socs3;Gngt2;Eln;Rnf135;Cx3cr1;Hist1h1b;Fn1;Cdc20;Gem;Tspan4;Kif2c;Pdlim3;Phlpp2;Sema4b;Adrb2;Dnase1l3;Dusp2;Atad2;Etfa;Ndufaf4;Ifit2;Mmp9;Gramd3;Parp14;Dock4;Crym;Nr1d1;Hepacam2;Psmg1;Ctse;Atad2b;Vsig4;Mov10;Mmp13;Mmp12;Tef;Ddit4;Rbm3;Lsp1;Sgk1;Pdgfc;Bhlhe41;Rgs1;Runx3;Cmpk2;Srbd1;Arl4d;Ecm1;Cytip;Mfap4;Zwilch;B3galnt1;Napsa;Per3;Filip1;Pim1;Ccr2;Havcr2;Gpx7;Gdf15,0.364737,-0.073409,-0.192619,0.0694,0.147178,0.028098,0.287974,-0.217559,-0.336315,-0.085895,0.14379,0.028354,0.262542
GATA2 (human),48,Mov10;Mmp12;Cd7;Tef;Tk1;Gngt2;Bccip;Eln;Tmem144;Cd163;Lsp1;Cx3cr1;Sgk1;Pdgfc;Ube2c;Cuedc1;Tspan4;Rgs1;Phlpp2;Sema4b;Ebf1;Cmpk2;Dnase1l3;Atad2;Ndufaf4;Ecm1;Ccnb1ip1;Cytip;Plac8;Mfap4;Ifit2;Cd79a;B3galnt1;Napsa;Ccdc115;Per3;Samd9l;Parp14;Dock4;Odf2l;Crym;Hepacam2;Cadm1;Psmc1;Pim1;Rsad1;Ctse;Gpx7,0.330554,-0.164419,-0.333932,-0.034154,0.129232,-0.012899,0.265453,-0.130947,-0.278587,0.020278,0.166134,0.048692,0.303939
LEF1 (human),34,Mov10;Ndufaf4;Ecm1;Inppl1;Plac8;Mfap4;Aqp1;Zwilch;Lpl;B3galnt1;Cdc42ep3;Bccip;Mmp9;Eln;Gramd3;Sgk1;Dock4;Pdgfc;Fn1;Ube2c;Cuedc1;Phyhd1;Amz1;Pim1;Psmg1;Ccr2;Ctse;Pdlim3;Ahnak;Havcr2;Ebf1;Adrb2;Gdf15;Vsig4,0.317033,-0.18319,-0.35848,-0.020396,0.07574,-0.074341,0.235073,-0.026392,-0.19754,0.110719,0.133843,-0.005329,0.278703
