gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
HOXD9 (human),30,Bok;Enpp2;Ccnb1ip1;Cytl1;Coch;Arrdc3;Ifit3;Sorbs1;Postn;Hlf;Hsph1;Lefty1;Cyp2e1;Lingo1;Pabpc1l;Fhl2;Creld2;Camkk2;Taf1c;Mmp3;Psrc1;Fmo1;Fmo2;Rspo1;Dhcr24;Uba52;Aspa;Slc24a5;Sema3e;Hspb1,0.625204,-0.470522,-0.710654,-0.281407,0.154681,-0.058085,0.388454,0.062384,-0.156926,0.281662,0.012788,-0.25438,0.214341
ZNF354C (human),19,Klf11;Zbtb16;S100a4;Sh3bp2;Leo1;Spp1;St5;Tspan4;Enpp2;Cytl1;Serpine1;Prdx6;Esrrg;Nes;Selenbp1;Uba52;Sorbs1;Top1mt;Hlf,0.614963,-0.440147,-0.691656,-0.133045,0.174816,-0.078225,0.413308,0.159283,-0.060752,0.373517,-0.063535,-0.357473,0.225629
NR5A1 (human),28,Hpgd;Hsd11b2;Rasl11a;St5;Chordc1;Adcyap1r1;Herpud1;Vmo1;Ccnb1ip1;Rgs7;Clmp;Xylt1;Plac8;Eln;G0s2;Fmo1;Fmo2;Dhrs3;Aifm3;C1qtnf3;Angpt2;Sema3e;Arrdc4;Tns3;Sorbs1;Dock10;Diaph3;Aldh3b1,0.578796,-0.352281,-0.551242,-0.140809,0.027298,-0.207292,0.220725,0.226516,-0.023461,0.438475,-0.104611,-0.314926,0.093018
MYB (human),19,Ch25h;Fabp4;Lepr;Gria4;Bok;Pabpc1l;Ttc39b;Chordc1;Ano2;Enpp2;Klhl13;Fam174b;Vcan;Sytl5;Fmo2;Clec2d;Slc24a5;Tlr4;Postn,0.572856,-0.274346,-0.559611,0.014988,0.018809,-0.175268,0.247514,0.02948,-0.215644,0.246468,0.298511,0.057554,0.569344
FOXA1 (mouse),33,Plscr2;Smpd3;Hprt;Ece1;Nfil3;Pld1;Trdmt1;Gfod2;Xlr;Tmem229b;Fkbp5;Ifit1;Sorbs1;Cst6;Wif1;Postn;Wee1;Fabp4;Ccl8;Zfp119b;Stbd1;Isg15;A4galt;Rgs7;Bmp4;Pik3r3;Fmo3;Esrrg;Notch4;Kcnj15;Uba52;Sash1;Arhgap20,0.569711,-0.326145,-0.519795,-0.123208,0.080955,-0.109771,0.289021,0.002751,-0.165827,0.201011,0.243565,0.034398,0.405703
SP3 (human),33,Klf11;Bhlhe41;Hsd11b2;Tmem52;Pigz;Cxcl12;Slc27a1;Sh3bp2;Slc9a3r1;Lepr;Lingo1;Fndc5;Cpne7;Foxf1;Tspan4;Per3;Wnt4;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Bcam;Prdx6;Cdh4;Ankrd12;Ezr;Glul;Atp1b1;Rasd2;Wee1;Nt5dc2,0.558803,-0.360235,-0.590965,-0.093143,0.159719,-0.073537,0.351179,0.198568,0.020845,0.427095,-0.061271,-0.309615,0.136082
IRF8 (human),32,Slco3a1;Txnip;Ece1;Enpp6;Nr1d1;Nr1d2;Angptl4;Hmgn2;Angpt2;Mab21l2;Por;Ifit1;Sorbs1;Lmo2;Lox;Cabp1;Megf10;Hlf;Hsph1;Cyp2e1;Rnaseh2b;Fndc5;Foxf1;Prg4;Tspan4;Isg15;Klhl13;Vcan;Cntfr;Emb;Igfbp3;Nt5dc2,0.554185,-0.42698,-0.65364,-0.224347,0.127205,-0.068824,0.345076,-0.106383,-0.294986,0.113054,0.071525,-0.074929,0.265703
IRF2 (human),24,Rnaseh2b;Gria4;Prg4;Gspt2;Creld2;Snx8;Fdps;Klhl13;Rasgef1b;Coq10b;Anxa3;Fmo3;Rspo1;Cybrd1;Cys1;Slc4a10;Smpdl3b;Glul;Cutc;Diaph3;Aldh3b1;Arap2;Agap2;Gap43,0.546706,-0.122754,-0.40536,0.179996,-0.264381,-0.495654,-0.043791,0.282325,0.021684,0.517518,-0.08258,-0.334061,0.192199
CREB1 (human),49,Ch25h;Cilp;Dgat2;Mbd1;Cdc25b;Slc10a6;Vmo1;Htra4;Pld1;Trdmt1;Tef;Nr1d2;Angptl4;Aifm3;Pgf;Selenbp1;Magt1;Gsta4;Lonrf1;Rbm3;Fabp4;Smtnl2;Tmem52;Has1;Fam13a;Spon2;Tspan4;Ctsk;Isg15;Acaa2;Il6;Sox12;Stmn1;Fmo4;Ccl11;Fam107a;Inmt;Itpr3;Tnnt2;Ptgfr;Glul;Tsc22d3;Fam180a;Aldh3a1;Csf2ra;Aldh3b1;Arap2;Camk2b;Nt5dc2,0.544635,-0.397097,-0.564975,-0.16265,0.147538,0.020234,0.280282,0.138206,-0.020462,0.292748,0.020572,-0.093877,0.157411
Sox5 (mouse),14,Cntfr;Gstm7;Myoc;Cyp2e1;Adamtsl2;Hsp90aa1;Sema3e;Fhl2;Fastkd3;Enpp6;Cd74;Aldh3a1;Cabp1;Hba-a1,0.541483,-0.468415,-0.812293,-0.131637,0.05346,-0.262951,0.328608,0.073069,-0.246066,0.401019,-0.212866,-0.481402,0.064334
