gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
KLF4 (human),91,Ngef;Hes1;Hes6;Gbp5;Klf12;Hyou1;Cryab;Pdgfb;Epb41l2;Dusp8;Bhlhe40;Pgm2l1;Lag3;Prrx2;Rasl10b;Zbtb16;Cdc25b;Ly6e;Slc25a34;Hr;Kcnd3;Gmnn;Pim3;Marcksl1;Ntrk3;Cirbp;Mfsd10;Mapk12;Ppp1r1b;Wnk4;Rcor2;Ifi30;Tspan4;Rrad;Tcap;Nxph3;Asb10;Inhbb;Irf7;Rbm24;Prr7;Cck;Asb2;Serpine1;Flrt1;Mthfr;Nr1d1;Nr1d2;Pax1;Cyb561;Rnf152;Timp1;Dhrs3;Gpr146;Adamtsl5;Sema5a;Dgkd;Sbsn;Igfbp6;Mamstr;Fam107a;Abhd11;Ccdc42;Dnajb1;Phactr3;Selenbp1;Cebpb;Lsp1;Haus8;Tnni3;Hsbp1l1;Pfn1;Cbfa2t3;Dpf1;Igsf8;Acvrl1;Adrb1;Mapre2;Tgfbi;Nol3;Ephx1;Nr4a2;Efna1;Espn;Nr4a1;Hspb7;Dbp;Lonrf1;Cldn7;Thra;Camk2b,0.240865,-0.018106,-0.118588,0.061406,0.222759,0.153829,0.296506,0.038955,-0.029393,0.103841,0.127765,0.040136,0.232823
SPIB (human),31,St3gal5;Gnl1;Pax1;Kcnc4;Tmem140;Ckb;Prrx2;Zbtb16;Kank4;Dgkh;Csf1;Ablim1;Frzb;Igfbp2;Osgin1;Dlx5;Dusp18;Dusp16;Adra1a;Klf4;Egr2;Fam78b;Acvrl1;Nrn1;Gnai1;Thsd7a;Slc1a4;Smad7;Rbm24;Tnfaip6;Dcn,0.229266,-0.155861,-0.316295,-0.022774,0.073405,-0.049975,0.206474,0.052409,-0.078192,0.190252,0.072418,-0.066783,0.189393
RUNX2 (human),65,Haghl;Psmd9;Gbp5;Tmc7;Cdkl5;Dgat2;Lars2;Ndst3;Srsf5;Hsp90b1;Fam13a;Htr2a;Ip6k2;Fhl2;Ppp1r3b;Scn2b;Capsl;Rassf2;Rassf4;Cd14;Csdc2;Rrad;Pcsk5;Sec14l1;Dync1i2;Filip1l;Scara5;Dpep1;Proca1;Pak4;Rgs1;Nav2;Gpcpd1;Irf7;Mknk2;Armc2;Fmo1;Angptl4;Gpr146;Rab36;Ablim1;Usp2;Mamstr;Cacnb2;Erf;C1qtnf7;Dusp10;Phactr3;Uba52;Adamts8;Hsbp1l1;Ifitm3;Antxr1;Mthfd1l;Gpm6a;Ifit3;Glul;Nmb;Tsc22d3;Aldoa;Stc2;Pdzd2;Tiparp;Hspb1;Dbp,0.228144,-0.118168,-0.206919,-0.018735,0.052305,-0.038043,0.143666,0.090079,0.01687,0.164509,0.109976,0.021292,0.200659
USF1 (mouse),46,Upb1;Klf15;Tmc7;Wtip;Bik;Cdc25b;Olfr330;Osgin1;Tnfrsf21;Trim58;Kcnk1;Crybg3;Unc5b;Upp2;Tmem86a;Dpep1;Arhgef26;Tef;Hspa1a;Asb2;Hspa4l;Gramd1c;Col23a1;Sema4a;Ckm;Pf4;Dgkh;Lancl3;Serinc3;Dnajb4;Dnaja4;Lsp1;Hist1h4c;Akap5;Klhdc8b;Maged2;Patz1;Krt18;Aldoa;Sgk1;Tgfb2;Tgfbi;Rasd2;Manba;Lpin3;Il15ra,0.222,-0.04022,-0.198453,0.049347,0.18178,0.043339,0.306664,0.032297,-0.069259,0.119004,0.081958,-0.04004,0.198543
AHR (human),80,Optc;Cdca8;Hsph1;Bhlhe41;Dgat2;Mbd2;Fabp3;Cenpa;Sap30;Foxo3;Rnft1;Kcnd3;Bmf;Hsp90aa1;Me3;Cdc40;Itgb3;Ppp1r3b;Egr2;Aimp2;Rcor2;Tspan4;Tfap4;Id1;Nrn1;Ccdc107;Pcsk4;Sec14l1;Nfil3;Herpud1;Mnt;Scara5;Lax1;Capn3;Cytl1;Myocd;Vcan;Pik3r3;Fam71a;Tbc1d1;Gfod1;Cry1;Hmgcr;Cygb;Myc;St3gal5;Tnnc1;Pawr;Cyb561;Rara;Angptl4;Adamtsl5;Phlda1;Mamstr;Pitpnm2;Spire1;Phactr3;Drd1;Wasf1;Irx3;Dnaja4;Slc24a4;Lsp1;Tmem50b;Tnnt2;Ifit3;Adrb1;Npy1r;Tgfbi;S1pr3;Manba;Smad7;Efna1;Fgfr2;Slc4a8;Ddit3;Spry1;Hlf;Camk2b;Chchd6,0.214946,-0.074208,-0.164714,0.030682,0.039621,-0.05525,0.118544,0.140738,0.063337,0.215413,0.066557,-0.014662,0.151229
NR2F1 (mouse),43,Pcdhga10;Dusp1;Bhlhe40;Jam2;Pfkfb3;Eif4ebp1;Bdnf;Ahsa2;Unc5b;Dclk1;Tspan4;Hivep3;Anln;Id1;Nfil3;Pak3;Narf;Tnfaip6;Cry1;Mvd;Hmgcr;Hnrnpm;Phf19;Gramd1c;Btg1;Cdkn1a;Slc8a3;Snrpn;Sbsn;Ablim1;Ppef1;Rcan1;Spire1;C1qtnf7;Dnajb2;Smpdl3b;Manf;Gpm6b;Ifit3;Pdk4;Dock5;Tiparp;Mlph,0.211769,-0.03838,-0.195125,0.087622,0.009885,-0.086867,0.140383,0.173389,0.074485,0.284003,0.008269,-0.088103,0.107795
RORB (mouse),43,Pcdhga10;Dusp1;Bhlhe40;Jam2;Pfkfb3;Eif4ebp1;Bdnf;Ahsa2;Unc5b;Dclk1;Hivep3;Tspan4;Anln;Id1;Nfil3;Pak3;Narf;Tnfaip6;Cry1;Mvd;Hmgcr;Hnrnpm;Phf19;Gramd1c;Btg1;Cdkn1a;Slc8a3;Snrpn;Sbsn;Ablim1;Ppef1;Rcan1;Spire1;C1qtnf7;Dnajb2;Smpdl3b;Manf;Gpm6b;Ifit3;Pdk4;Dock5;Tiparp;Mlph,0.211769,-0.03838,-0.195125,0.087622,0.009885,-0.086867,0.140383,0.173389,0.074485,0.284003,0.008269,-0.088103,0.107795
Stat3 (mouse),58,Oplah;Dusp1;Mecom;Hsp90b1;Map3k6;Ahsa2;Unc5d;Cyp39a1;Hhip;Tnfaip6;Prelid2;Homer2;Cdkn1a;Tle1;Ablim1;Hmgcs2;Angpt2;Pir;Apobr;Ifrd2;Arrdc3;Arrdc4;Cited4;Ptn;Lpin3;Plaur;Rbm3;Upb1;C3;Bdnf;Hsp90ab1;Ank3;Cd14;Ptprd;Id1;Id2;Socs3;Socs2;Zbp1;Mt1;Gpcpd1;Fam98b;Myc;Ier5;Tmem140;Phlda1;Dgkh;Slc15a2;Fam107a;Efhc2;Gpm6a;Fibin;Sgk1;Tgfb3;Npy1r;Smad7;Tshr;Acan,0.209278,-0.076754,-0.195985,0.03732,0.087533,-0.000695,0.191122,0.132524,0.047754,0.215187,0.052898,-0.03437,0.14399
GLI2 (human),86,Slc5a3;Zbtb8a;Kcnb1;Dusp8;Lrrc32;Vwa3a;Kcna2;Ndst3;Zbtb16;Cdc25b;Ly6e;Npas2;Foxo3;Hsp90b1;Jam2;Eif4ebp1;Bdnf;Ntrk3;Cirbp;Cdc40;Mboat1;Actn2;Mfsd10;Mapk12;Chordc1;Ank3;Wnk4;Scn2b;Rassf2;Tspan4;Cd14;Id1;Id2;Per1;Tcap;Plvap;Slc1a4;Proca1;Asb10;Arhgef26;Cacna1d;Eef2k;Rbm24;Ttc22;Pik3r3;Eepd1;Trib2;Cck;Tef;Cd9;Fam120c;Nxnl2;Plk3;Nr1d2;Gja4;Ier3;Dgkg;Erf;Irs2;Insig1;Abhd11;Txnrd3;Serpini1;Dusp10;Selenbp1;Snrnp48;Smpdl3b;Slc24a4;Prr5l;Hsbp1l1;Arrdc2;Arc;Gng10;Dpf1;Hist3h2a;Serp2;Cdk2ap1;Nol3;Dock10;Ephx1;Smad7;Nr4a2;Axin2;Dbp;Wee1;Palld,0.209245,-0.056252,-0.159666,0.019352,0.152993,0.086129,0.227337,0.081577,0.006708,0.149763,0.064625,-0.025047,0.129999
ZNF354C (human),58,Ngef;Klf11;Pdgfb;Nkx3-1;Kcnb1;Tmem26;Egln3;Bik;Zbtb16;Rasl11b;Has3;Leo1;Fam13c;Pim3;Bdnf;Htr2a;Aph1a;Bcas2;Hsp90ab1;Mfsd10;Crispld2;Scn2b;Art3;Rassf3;Tspan4;Ano1;Hsd17b7;Atoh8;Cytl1;Cav1;Hmgb3;Lasp1;Lnx1;Cck;Serpine1;Tigd4;Smc2;Gnl1;Tal2;Phf19;Ckm;Dgkd;Ppef1;Cacnb2;Phactr3;Drd1;Selenbp1;P2rx5;Uba52;Klhdc8b;Dpf1;Nmb;Nol3;Rasd1;Ncald;Il15ra;Dcn;Hlf,0.207976,-0.125295,-0.238242,-0.016655,0.073879,-0.007317,0.156358,0.020816,-0.082144,0.114561,0.082681,-0.004166,0.171826
GFI1 (human),56,Upb1;Atf3;Psmd9;Baz1a;Zbtb8a;Sult1a1;Sdf2l1;Tmc7;Srsf5;Rnft1;Has3;Fbxo31;Pfkfb3;Synpo2l;Aph1a;Tspan15;Mia;Net1;Scn2b;Actr3b;Rassf2;Cd14;Tfap4;Spc24;Pnpla2;Prodh;Gpcpd1;Rbm14;Atf7ip;Mvd;Trib3;Samhd1;Myc;Serpinf1;Bloc1s1;Tesc;Gipc2;Trim2;Fkbp5;Usp2;Ldlr;Fam107a;Efhc2;Uba52;Smpdl3b;Prr5l;Rhebl1;Krt18;Aldoa;Gdf15;Nol3;Stil;Pdzd2;Hspa5;Hspb1;Plaur,0.205702,-0.070317,-0.168737,0.050034,0.135385,0.024579,0.238793,0.053256,-0.050216,0.164108,0.041605,-0.061776,0.147693
HNF1A (human),75,Dpysl2;Cdkl5;Dgat2;Kcna2;Hsp90b1;Frzb;Bmf;Tnfrsf21;Trim58;Kcnk3;Adamts10;Hnrnpa1;Mfsd10;Bbs5;Pnpla2;Tfap2b;Ets1;Nav2;Grk5;Smoc1;Cdkn1a;Slc8a3;Ckb;Snrpn;Ablim1;Ppef1;C1qtnf7;Lancl3;Phactr3;Ccdc60;Mthfd1l;Twist2;Rab6b;Dock10;Efnb1;Efna1;Stard3;Upb1;Zbtb8a;Vwa3a;F3;Prrx2;Sap30;Has3;Fam13a;Bdnf;Mmab;Prc1;Ntn4;Chordc1;Capsl;Cd14;Ccdc112;Ptprd;Id3;Mnt;Klhl31;Pak4;Fdps;Arhgef26;Mmp3;Samhd1;Maml3;Sema4a;Phlda1;Grb14;Slc15a2;Mri1;Slc24a4;Pfn1;Glrx;Rhou;Tgfb2;Npy1r;Arid5a,0.205065,-0.096133,-0.17829,-0.003572,0.060462,-0.052228,0.158047,0.060189,-0.018336,0.143412,0.108932,0.027814,0.18364
PURA (human),33,Myc;Kcnb1;Mecom;G0s2;Cenpa;Rspo3;Clec3b;Ablim1;Cacnb2;Gstt1;Bag3;Angpt4;Txnrd3;Ntrk3;Tub;Tm4sf1;Rin3;Arc;Hivep3;Mlf1;Tppp3;Id2;Aldoa;Socs3;Nav2;Rbm24;Mast4;Lasp1;Fam71a;Rbm38;Lnx1;Spry1;Acan,0.204792,0.149476,0.039488,0.281774,-0.055316,-0.165421,0.050863,0.032805,-0.067728,0.12724,0.011945,-0.111431,0.178551
RARA (human),67,Lxn;Sdf2l1;Tmc7;Cdkl5;Spsb1;Prrx2;Srsf5;Fam13a;Bcas2;Prc1;Actn2;Mgp;Epb41;Aimp2;Scn2b;Tspan4;Cd14;Tfap4;Ide;Sec14l1;Bbs5;Spc24;Plvap;Nexn;Capn3;Ccnb1ip1;Rbm44;Samhd1;Tef;Ahnak;Adcy7;Parl;St3gal5;Serpinf1;Nr1d2;Hspa4l;Tet1;Pqlc3;Nmnat2;Adamtsl5;Sema4a;Sema4c;Rbbp4;Usp2;Mamstr;Ccdc42;Col14a1;Dusp18;Xirp1;Selenbp1;Uba52;Lsp1;Adamts8;Tmem50b;Nceh1;Por;Nqo1;Gdf15;Manba;Pdia6;Caprin2;Cmtm6;Idi1;Rwdd3;Plaur;Pik3ip1;Camk2b,0.197716,-0.077482,-0.167807,0.011718,0.069789,-0.022239,0.153825,0.034902,-0.061358,0.10976,0.120234,0.019863,0.213851
FOXA1 (human),57,Fez1;Psmd9;Prex2;Sult1a1;Nkx3-1;Fos;Lars2;Prrx2;Slc25a33;Rnft1;Fam13c;Fam13a;Synpo2l;Rsad1;Epb41;Ppp1r3b;Ctps;Cd14;Zbed5;Tnfrsf12a;Ube2g1;Csdc2;Pcsk5;Proca1;Rgs1;Wsb1;Homer2;Hspa1a;Enpep;Fam120c;Slc16a11;Gnl1;Rnf145;Trim2;Fmo1;Yipf4;Acss1;Ppef1;Dnajc1;Dnajb1;Selenbp1;Smpdl3b;Rhebl1;Klhdc8b;Gpm6a;Dpf1;Krt18;Aldoa;Slc35f5;Gsta4;Ncald;Hspb1;Hist1h1c;Plaur;Palld;Col8a1;Six4,0.195222,-0.060193,-0.158236,0.037515,0.024071,-0.071158,0.138466,0.135028,0.050494,0.252733,0.053208,-0.041191,0.147392
TFAP2D (human),57,Sdf2l1;Tmc7;Spsb1;Kcna2;Bik;Prrx2;Leo1;Synpo2l;Prc1;Hnrnpa0;Rsad1;Tm4sf1;Ctps;Aimp2;Rassf2;Cd14;Sdc3;Ide;Sec14l1;Spc24;Herpud1;Nexn;Capn3;Pak3;Pak6;Narf;Prodh;Trib3;Samhd1;Spata24;Homer2;Enpep;Nr1d1;Tal2;Pqlc3;Timp1;Adamtsl5;Ldlr;Igfbp2;Mamstr;Cys1;Col14a1;Xirp1;Klf2;Lsp1;Hsbp1l1;Lman2l;Dpf1;Banp;Krt18;Slc35f5;Nol3;Manba;Dock5;Cmtm6;Rwdd3;Pik3ip1,0.19332,-0.056894,-0.154579,0.033655,0.113927,-0.014461,0.234917,-0.004627,-0.118662,0.082735,0.136426,0.033523,0.239841
Pax2 (mouse),59,Stard3;Optc;Ngef;Gbp5;Atf4;Lxn;Kcnb1;Sphk1;Rapgef5;Ly6e;Fbxo31;Bdnf;Kcnk3;Ip6k2;Crispld2;Ctps;Rgl1;Id4;Neu2;Dync1i2;Scara5;Pak3;Gem;Plb1;Rgs1;Plk2;Tet1;Tal2;Fmo2;Fmo4;Rspo3;Ckm;Cyp51;Fam47e;Igfbp2;Dnajb2;Ccdc60;Slc46a3;Apcdd1;Abra;Vasn;Arc;Klhdc8b;Arl6ip5;Nmb;Tsc22d3;Tlr2;Sgk1;Cited2;Stc2;Trp53bp1;Stil;Col6a6;Dock5;Hba-a1;Dbp;Lonrf1;Clock;Acan,0.190014,-0.042977,-0.152345,0.062282,0.147037,0.03531,0.281083,0.076131,-0.036176,0.16821,0.062495,-0.030483,0.138222
