gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
RUNX2 (mouse),21,Tspan12;Akr1c14;Adarb1;Plac8;Cdkn1a;Cd300lg;Aqp1;Lrrn4cl;Rbm3;Col1a1;Rbp4;Vwa3a;Ucp2;Dpt;Cd74;Laptm5;Gcnt2;Sema6b;Myom1;Tgfbi;Tmem101,0.683402,-0.330707,-0.563278,-0.085491,-0.157205,-0.348165,0.040364,0.135217,-0.059505,0.293148,0.352695,0.159849,0.574083
Sox2 (mouse),21,Adam33;Itga8;Akr1c14;Gnb5;Cnn1;Arrdc3;Lmo2;Rbm3;Fabp4;Rnaseh2b;Ucp2;Gkn3;Ncoa3;Cd36;Mmrn1;Fam102b;Abca8a;Olfr1034;Npy1r;Abcg2;Nts,0.68054,-0.436605,-0.683028,-0.182382,0.015204,-0.146614,0.221924,0.243934,0.050961,0.426931,0.177467,-0.04436,0.344059
FOXF2 (human),15,Rbp7;Adam33;Phkg2;Nr1d1;Coq10a;Hinfp;Fn3k;Smpdl3b;Susd5;Nceh1;Nqo1;Cst6;Tnxb;Sele;Tmem101,0.679991,-0.316335,-0.606462,-0.053812,0.214122,-0.049387,0.449414,0.363656,0.110712,0.60948,-0.261443,-0.464278,-0.082871
HMGA1 (mouse),23,Mrvi1;Dusp1;Ntrk3;Crispld2;Rab27b;Zfp946;Gnb5;Tpbg;Ahsg;Prkg1;Cst6;Fbln1;Nrcam;Xpnpep3;F3;Fabp4;Ptprr;Cd36;Sox18;Fn3k;Sema3a;Stc1;Nr4a2,0.672867,-0.378255,-0.532573,-0.180272,-0.08074,-0.279626,0.129473,0.294612,0.085621,0.497155,0.164383,-0.005621,0.377817
SP3 (human),26,Cacna2d3;Wnt9b;Spsb1;Flnc;Aph1b;Flt4;Igf2bp2;Itih5;Lpar1;Tspan4;Per3;Tef;Gpr161;Adarb1;Nr1d2;Slc6a6;Sox18;Junb;Tpm2;Adra2c;Cebpb;Macf1;Glul;Zcchc24;Col6a1;Cdh11,0.663522,-0.326605,-0.48291,-0.181796,0.104354,-0.055643,0.274709,0.336917,0.190271,0.515371,-0.114666,-0.325429,0.059361
HNF1A (human),24,Ccdc3;Frzb;Tspan12;Nrp2;Rarres2;Pcdh11x;Plac8;Timp4;Ahsg;Cdkn1a;Gsn;Prkg1;Mthfd1l;Vwa3a;F3;Slc12a8;Enah;Dkk2;Plce1;Gcnt2;Sema6b;Cyp27a1;Npy1r;Cxcl2,0.651181,-0.023412,-0.276286,0.228352,-0.264669,-0.536933,-0.001511,-0.09843,-0.287114,0.092976,0.386511,0.202499,0.563986
REL (mouse),21,Cacna2d3;Dusp1;Fos;Lcn2;Cfb;Slc39a4;Prkg1;Edn1;Thra;C3;Sfrp2;Penk;Rpa3;Fmo2;Abca8a;Rcan2;Fam107a;Cdo1;Nceh1;Tgfbi;Myh11,0.645172,0.003264,-0.192185,0.234362,-0.26444,-0.444257,-0.023848,-0.119555,-0.29321,0.05726,0.380732,0.237298,0.559852
TCFAP2A (human),23,Cacna2d3;Nr2f2;Fos;Spsb1;Slco3a1;Pfkfb3;Igf2bp2;Egr3;Tspan4;Per3;Gnao1;Gpr161;Adarb1;Nr1d2;Junb;Gas1;Fam102b;Adra2c;Hdac9;Cdh11;Col6a2;Dock5;Dtx1,0.635792,-0.364239,-0.523121,-0.154576,0.099084,-0.093324,0.275131,0.271554,0.094279,0.479985,-0.006399,-0.153404,0.18893
ZBTB7A (human),24,Ccdc3;Fos;F3;Slco3a1;Nrg1;Lpar1;Tspan4;Penk;Per3;Ern1;Pcdh11x;Cnn1;Adarb1;Plce1;Cfb;Sox18;Junb;Cdkn1a;Sema4d;Hinfp;Uba52;Vipr1;Glul;Dtx1,0.630926,-0.298349,-0.506082,-0.117435,-0.041002,-0.185123,0.105369,0.006774,-0.14758,0.187067,0.332577,0.169406,0.476026
HIF1A (mouse),21,Ttyh1;Islr;Pfkfb3;Mgp;Sfrp1;Cd38;Ccdc152;Gnb5;Cnn1;Cyp26b1;Tpbg;Atp2b2;Gas1;Gcnt2;Slco2a1;Rcan2;Lbh;P2ry1;Nceh1;Stc1;Col6a2,0.621076,-0.290259,-0.459955,-0.074894,0.047384,-0.188723,0.274406,-0.087942,-0.290429,0.111098,0.330817,0.157659,0.494572
ZFHX3 (human),19,Tmem81;Rbp7;Nr2f2;Lrg1;Fabp4;Klk11;Nubp1;Pcdh11x;Cnn1;Pdlim7;Plce1;Plac8;Sema6b;Slco2b1;Cd300lg;Prox1;Cst6;Nts;Nrcam,0.619859,-0.345127,-0.601112,-0.076623,0.25089,0.035244,0.44929,0.274733,0.088407,0.515937,-0.180496,-0.356513,0.018984
USF1 (mouse),16,Islr;Osgin1;Tspan12;Akr1c14;Klk11;Rarres2;Gnb5;Atp2b2;Tef;Mrc1;Tpm2;Serinc3;Tmem138;Tgfbi;Col6a1;Tbcel,0.60313,-0.374156,-0.582245,-0.154291,-0.076264,-0.263837,0.154575,0.221447,0.027863,0.455956,0.228974,0.060156,0.408391
ELK1 (mouse),36,Itga8;Txnip;Gnao1;Tpbg;Adamtsl5;Macf1;Dbp;Rbm3;Col1a1;Cp;Fabp4;Rnaseh2b;Ctla2a;Sfrp1;Tspan4;Klk10;Klk11;Ptprr;Rpa3;Mt2;Pthlh;Plce1;Fam102b;Sema4d;Smpdl3b;Sost;Acsl3;Nceh1;Tppp3;Nqo1;Tmem138;Tgfbi;Dock5;Cobll1;Tbcel;Ehmt1,0.581881,-0.356359,-0.491691,-0.224271,0.115814,-0.005793,0.259338,0.225522,0.07521,0.364182,0.015023,-0.139352,0.158561
IRF2 (human),20,C3;C7;Spsb1;Rnaseh2b;Nrg1;Ncoa3;Klk10;Klk11;Cd36;Acta2;Guca1b;Mrc1;Slco2b1;Smpdl3b;Gpm6a;Glul;Nqo1;Tnxb;Myh11;Cplx2,0.573771,-0.326855,-0.510717,-0.15127,0.046705,-0.182316,0.232333,0.246916,0.078167,0.428197,0.033235,-0.160575,0.239798
CACYBP (human),29,Cacna2d3;Ttyh1;Wnt9b;Ntrk3;Igf2bp2;Itih5;Ramp3;Egr3;Tspan4;Mknk2;Atp2b2;Adarb1;Nr1d1;Adamtsl5;Sema4d;Tpm2;Fkbp5;Slc39a4;Nlgn2;Cebpb;Duox2;Gdpd3;Tnxb;Nr4a2;Cdh11;Col6a2;Fam189b;Thra;Nrcam,0.573659,-0.279303,-0.463792,-0.095292,0.294356,0.152159,0.462469,0.109601,-0.085131,0.296921,-0.124654,-0.283635,0.09507
NRF1 (mouse),17,Adam33;Cd248;Tef;Timp4;Arrdc3;Lrrn4cl;Cst6;Nrcam;Rbp7;Zfp251;Pfkfb3;Ctla2b;Sema4d;Hinfp;Uba52;Tnxb;Ehmt1,0.570485,-0.319829,-0.539448,-0.035604,0.061447,-0.182763,0.320553,0.250656,0.034289,0.485559,0.007726,-0.197327,0.181234
NR2F1 (mouse),15,Dusp1;Pfkfb3;Itga8;Tspan12;Ramp3;Tspan4;Cd36;Rpa3;Ahsg;Cdkn1a;Smpdl3b;Tpt1;Tmem138;Sele;Dock5,0.557553,-0.329639,-0.6075,-0.074048,0.227914,-0.017185,0.447267,0.216918,-0.032044,0.515374,-0.115193,-0.31577,0.113125
RORB (mouse),15,Dusp1;Pfkfb3;Itga8;Tspan12;Ramp3;Tspan4;Cd36;Rpa3;Ahsg;Cdkn1a;Smpdl3b;Tpt1;Tmem138;Sele;Dock5,0.557553,-0.329639,-0.6075,-0.074048,0.227914,-0.017185,0.447267,0.216918,-0.032044,0.515374,-0.115193,-0.31577,0.113125
IRF8 (mouse),29,Kcnh1;Txnip;Egr3;Zfp946;Vcam1;Tbx20;Gnb5;Cyp26b1;Gas1;Zfp367;G0s2;Cdkn1a;Ifit1;Heg1;Lmo2;Col1a1;Gbp4;Maf;Ptprr;Pdlim7;Dkk2;Fam102b;Sema6b;Sema3a;Cdo1;Abcg2;Nts;Cplx2;Cobll1,0.551157,-0.28427,-0.435594,-0.090742,0.266886,0.127545,0.410498,0.022381,-0.148856,0.16345,-0.004997,-0.136027,0.139007
SPI1 (mouse),28,Uaca;Wnt9b;Ccdc3;Smpd3;Frzb;Htr1b;Nrg1;Tcap;Gabra3;Cdkn1a;Glt8d2;Pls3;Prkg1;Mthfd1l;Fbln1;Scube3;Gbp4;F3;Ramp2;Col5a2;Rgs5;Pthlh;Eln;Mrc1;Sema4d;Myom1;Tnxb;Nr4a2,0.550134,-0.048167,-0.244316,0.156436,-0.200323,-0.346729,-0.030351,-0.101321,-0.289607,0.055339,0.349811,0.192,0.490895
RARA (human),22,Fam135a;Spsb1;Mgp;Itih5;Sfrp1;Tspan4;Klk11;Ccdc152;Ccnb1ip1;Gnb5;Tef;Nr1d2;Coq10a;Gcnt2;Adamtsl5;Sema6b;Uba52;Acsl3;Nceh1;Nqo1;Lrrn4cl;Aldh1a1,0.54243,-0.297964,-0.49576,-0.071848,0.115599,-0.068533,0.285028,0.244466,0.055429,0.441217,-0.062101,-0.248315,0.134396
LEF1 (mouse),28,Uaca;Islr;Wnt9b;Lcn2;Htr1b;Rarres2;Cspg4;Lmo2;F3;Lrg1;Cd36;Ramp2;Errfi1;Inhba;Rgs5;Plce1;Fmo1;Guca1b;Abca8a;Itpripl2;Sema6b;Sema3g;Sost;Tsc22d3;Npy1r;Tnxb;Nts;Ncam1,0.537661,-0.271441,-0.429457,-0.108351,-0.011877,-0.167382,0.181649,0.017098,-0.176554,0.203069,0.26622,0.11824,0.440505
TFAP2D (human),8,Spsb1;Smpd3;Flt4;Nr1d1;Adamtsl5;Abcg2;Sele;Dock5,0.532884,-0.184318,-0.476359,0.214876,0.28865,-0.000545,0.588121,0.139902,-0.154509,0.416159,-0.244234,-0.499224,0.087196
TBP (mouse),31,Akr1c14;Angptl4;Hdac9;Lrrn4cl;Postn;Aldh1a1;Rbp7;Gkn3;Gpr161;Abhd2;Gcnt2;Tmem140;Fam102b;Abca8a;Olfr1034;Gpm6a;Nts;Ogn;Phkg2;Ptgfrn;Vcam1;Duox2;Ptn;Tmem81;Spsb1;Cd36;Col5a2;Stmn2;Mrc1;Sema3a;Tsc22d3,0.511029,-0.268896,-0.463268,-0.091888,0.117307,-0.042225,0.29905,0.242133,0.092917,0.408539,-0.090544,-0.263325,0.086927
GLI2 (human),30,Xpnpep3;Samd5;Vwa3a;Zbtb16;Npas2;Cd248;Ntrk3;Hand2;Igf2bp2;Tspan4;Tcap;Nrp2;Acta2;Atp2b2;Tef;Nr1d2;Plac8;Cmklr1;Sema4d;Adra2c;Pi15;Smpdl3b;Acsl3;Susd5;Lrrn4cl;Gdpd3;Tnxb;Nr4a2;Fam189b;Dbp,0.508365,-0.297285,-0.498435,-0.128172,-0.027522,-0.246731,0.148501,0.21108,0.066288,0.360916,0.113726,-0.035089,0.330455
NR5A1 (mouse),15,Dusp1;Lefty1;Vwa3a;Zfp251;Pfkfb3;Cd74;Cytl1;Timp4;Ahsg;Cdkn1a;Nlgn2;Lbh;Sema3g;Nqo1;Fbln1,0.503978,-0.173849,-0.395172,0.054843,-0.129044,-0.347256,0.137183,-0.027237,-0.256832,0.222286,0.33013,0.152605,0.53358
TEAD4 (human),35,Fos;Spsb1;Zbtb16;Ucp2;Frzb;Flnc;Pfkfb3;Aph1b;Hand2;Flt4;Igf2bp2;Itih5;Egr3;Lpar1;Tspan4;Enah;Gnao1;Pdlim7;Atp2b2;Tef;Gpr161;Nr1d2;Sox18;Junb;Angptl4;Tpm2;Lbh;Arntl;Macf1;Stc1;Zcchc24;Col6a1;Cdh11;Dbp;Nrcam,0.498996,-0.206705,-0.374617,-0.02289,0.04382,-0.085215,0.208948,0.292291,0.139818,0.414372,-0.129407,-0.271956,-0.000904
EGR1 (mouse),22,Cacna2d3;Nr2f2;Nrg1;Kdr;Gnao1;Tpbg;Gas1;Fkbp5;Lbh;Cebpb;Heg1;F3;Spsb1;Ncoa3;Penk;Per3;Rgs5;Pdlim7;Pthlh;Slc6a6;Sema6b;Cobll1,0.49775,-0.299967,-0.48321,-0.073896,-0.02153,-0.219778,0.175605,0.123714,-0.059478,0.295182,0.197783,0.030817,0.383924
RXRA (human),28,Rbp4;Nr2f2;Mrvi1;Adam33;Lrg1;Rnaseh2b;Flnc;Lcn2;Phkg2;Tagln;Ncoa3;Cd36;Mt3;Nr1d1;Nr1d2;G0s2;Fkbp5;Slc39a4;Slco2b1;Cd300lg;Uba52;Smpdl3b;Hdac9;Acsl3;Macf1;Tmem138;Fbln1;Sele,0.494383,-0.119651,-0.25619,0.018412,0.026841,-0.101791,0.18429,0.293597,0.124831,0.441274,-0.200787,-0.317474,-0.029856
HOXD9 (human),29,Bok;Ntrk3;Tspan12;Nrp2;Ccnb1ip1;Gnb5;Cytl1;Gas1;Smoc2;Bcl6;Arrdc3;Heg1;F2rl1;Postn;Hlf;Tmem81;Sparcl1;Gbp4;Lefty1;F3;Cd36;Fmo1;Fmo2;Hinfp;Uba52;Nceh1;Stc1;Slx1b;Nr4a2,0.494175,-0.282271,-0.474425,-0.11093,-0.009624,-0.155997,0.181321,0.07999,-0.073632,0.220879,0.211904,0.054999,0.367188
E2F1 (mouse),44,Cacna2d3;Dusp1;Slco3a1;Lcn2;Hand2;Nrp2;Rnd3;Adarb1;Zfp367;Adamtsl5;Fkbp5;Pls3;Tpt1;Zcchc24;Ptn;Gdpd3;Lmo2;Hapln1;Nrcam;Rbp7;F3;Spsb1;Rnaseh2b;Flnc;Pfkfb3;Me3;Klk11;Cd38;Pamr1;Inhba;Mt1;Mt3;Mt2;Mmrn1;Atp2b2;Gpr161;Sox18;Gcnt2;Sema6b;Igfbp6;Adra2c;Vipr1;Gpm6a;Cxcl2,0.494154,-0.252649,-0.381338,-0.133863,0.034263,-0.092574,0.152687,0.241506,0.110932,0.375222,-0.02312,-0.133826,0.103254
TBX5 (mouse),20,Npas2;Efemp1;Rab27b;Gnb5;Tef;Nr1d1;Nr1d2;Gas1;Serpina1e;Pls3;Lrg1;Ucp2;Me3;Fmo2;Sema6b;Inmt;Cmah;Tppp3;Tgfbi;Nr4a2,0.493494,-0.246888,-0.427616,-0.057671,0.02882,-0.174409,0.249015,0.246606,0.084033,0.446658,-0.028539,-0.191243,0.166294
Stat3 (mouse),26,Nr2f2;Mrvi1;Dusp1;Smpd3;Itga8;Akr1c14;Nrp2;Gnb5;Cdkn1a;Bcl6;Aqp1;Arrdc3;Ptn;Rbm3;C3;Sfrp1;Cd36;Mt1;Laptm5;Tmem140;Fam107a;Acsl3;Gpm6a;Npy1r;Tmem138;Nts,0.486389,-0.303192,-0.454051,-0.153061,-0.027266,-0.187384,0.135315,0.183197,0.030206,0.33114,0.14726,-0.035844,0.32273
