gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Cdk8	0.42	0.22	0.22	0.59	1.0	-254.91455	-239.72781	-248.12065	-246.8663	0.0	-3.4953098	-10.803526075091074	1.1251095645854061	0.17167381974248927	80
Hjurp	0.29	0.28	0.28	0.71	0.87	-478.94882	-470.1088	-472.284	-476.50604	0.0	-1.0608857	-9.76802875805203	2.3950233288436373	0.3626609442060086	169
Tmod1	0.1999999999999999	0.12	0.12	0.71	0.87	-52.03948	-52.203564	-53.01963	-50.681335	0.0	-0.5898339	-13.298493141037785	5.2053853499228815	0.023605150214592276	11
P2ry10b	0.49	0.3399999999999999	0.3399999999999999	0.66	1.0	-36.646442	-35.090443	-35.899693	-36.038906	0.0	-0.26384968	-13.411985577603811	4.974564066635875	0.017167381974248927	8
Mycbp	0.3199999999999999	0.38	0.3199999999999999	0.54	1.0	-265.19492	-257.67926	-263.5674	-259.41693	0.0	-2.5093467	-10.709021916496779	5.6968148695848315	0.19527896995708155	91
Kazn	0.26	0.3	0.26	0.53	1.0	-16.949253	-16.449097	-16.40813	-17.033087	0.0	0.03640851	-14.360151311752407	2.340621227499602	0.006437768240343348	3
Tpd52l2	0.35	0.4	0.35	0.69	0.93	-527.96405	-516.4844	-524.1215	-522.44354	0.0	-2.397526	-9.332782682731484	3.6837228662643864	0.49356223175965663	230
Sardh	0.29	0.28	0.28	0.62	1.0	-153.799	-148.77681	-152.47853	-149.5101	0.0	-1.8626432	-11.434040541407542	0.7016593522755263	0.10300429184549356	48
2810029C07Rik	0.3	0.41	0.3	0.61	1.0	-19.23341	-19.616032	-19.72714	-19.211376	0.0	-0.00956911	-14.40883576584314	3.5970995966572783	0.006437768240343348	3
Eif3a	0.27	0.3	0.27	0.6	1.0	-942.3732	-895.4494	-914.133	-922.05646	0.0	-8.8234625	-8.100785662153996	5.766660841115587	0.7467811158798283	348
Ccdc14	0.14	0.1999999999999999	0.14	0.55	1.0	-30.680767	-31.576971	-30.066416	-31.941431	1.0	0.5474994	-13.631725789259148	5.72548726295958	0.012875536480686695	6
Lmna	0.48	0.31	0.31	0.56	1.0	-836.099	-785.8441	-815.52356	-806.24054	0.0	-12.967364	-8.58602789855208	1.0398723370639784	0.6201716738197425	289
Dot1l	0.2099999999999999	0.5	0.2099999999999999	0.36	1.0	-178.82266	-180.4509	-181.569	-176.8431	0.0	-0.85971564	-11.548360184802409	0.24359631473103516	0.11373390557939914	53
Map3k12	0.28	0.36	0.28	0.59	1.0	-193.65034	-180.86038	-193.03369	-183.0756	0.0	-4.5925503	-11.16058244088071	5.765672357894244	0.12875536480686695	60
Plxnb1	0.3	0.2199999999999999	0.2199999999999999	0.67	0.9899999999999998	-31.659027	-32.43296	-32.135704	-31.989294	0.38408533	0.14343311	-13.720994096363595	5.402659079737802	0.012875536480686695	6
Ehhadh	0.48	0.4499999999999999	0.4499999999999999	0.55	1.0	-56.854652	-52.761974	-55.30418	-53.40564	0.0	-1.4978871	-12.905548975396663	3.820035833392217	0.027896995708154508	13
Speg	0.35	0.15	0.15	0.74	0.7799999999999999	-53.66439	-54.082886	-54.048363	-53.518593	0.08249321	-0.06331915	-13.23508561912165	5.073591521883299	0.023605150214592276	11
Gpatch11	0.36	0.41	0.36	0.48	1.0	-303.23145	-295.11087	-300.9084	-296.9643	0.0	-2.7217891	-10.49876676220922	3.529718308406885	0.22317596566523606	104
Glce	0.4499999999999999	0.3199999999999999	0.3199999999999999	0.69	0.93	-433.7667	-428.44623	-431.12436	-431.37637	0.0	-1.0381027	-9.807352401858196	4.960729315255861	0.3648068669527897	170
Sf3b3	0.4	0.42	0.4	0.53	1.0	-385.42303	-374.62494	-384.4655	-376.8631	0.0	-3.717533	-9.927135552846238	0.06972100249898627	0.3240343347639485	151
Sult5a1	0.38	0.16	0.16	0.52	1.0	-17.992908	-18.279726	-17.580463	-18.562943	1.0	0.24756263	-14.423770941827964	4.881003411298369	0.006437768240343348	3
Gm26877	0.48	0.31	0.31	0.68	0.9599999999999996	-7.3442154	-7.7638664	-7.615937	-7.4867105	0.35250524	0.061884858	-15.382661686127378	4.91902665355946	0.002145922746781116	1
Zbtb45	0.25	0.48	0.25	0.46	1.0	-135.1412	-132.853	-135.01196	-133.63844	0.0	-0.6526412	-11.659740709754294	6.166434505499983	0.08798283261802575	41
Pkm	0.38	0.45	0.38	0.57	1.0	-777.05237	-745.7598	-769.5549	-749.9231	0.0	-11.782093	-8.432445330150278	3.7544495844907924	0.7145922746781116	333
Itih2	0.12	0.41	0.12	0.51	1.0	-108.47174	-108.40224	-108.901245	-108.63751	0.0	0.07199364	-12.226799040469572	3.234633502067291	0.055793991416309016	26
Gm12404	0.48	0.31	0.31	0.59	1.0	-8.148173	-7.9825797	-8.012426	-8.101691	0.0	-0.020186914	-15.354146987928992	1.4877755160000037	0.002145922746781116	1
Procr	0.43	0.14	0.14	0.7	0.9	-864.58655	-826.2122	-847.4391	-843.67004	0.0	-9.083922	-8.547197601955265	1.353862879491838	0.5643776824034334	263
Gm49575	0.4499999999999999	0.23	0.23	0.58	1.0	-7.0867248	-7.0885134	-7.128951	-7.0470123	0.0	-0.017246889	-15.367797848220686	1.3790421329870384	0.002145922746781116	1
