gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
USF1 (human),75,Upb1;Ngef;Atf3;Hes1;Klf11;Klf15;Pdgfb;Hsph1;Bhlhe40;Bhlhe41;Fabp3;Tmem51;Bik;Foxo3;Hsp90b1;Has3;Fam13a;Me3;Unc5d;Upp2;Hnrnpa1;Actn2;Tm4sf1;Crispld2;Epb41;Ppp1r3b;Commd8;Ppp1r1b;Il16;Ccdc107;Per3;Per1;Herpud1;Capn3;Cacna1d;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d2;Gnl1;Cyb561;Rnf145;G0s2;Tmem229b;Angptl2;Slc8a3;Tmem38b;Snrpn;Ckm;Ankrd23;Enkur;Fkbp5;Sbsn;Ankrd12;Rhobtb1;Cpt1a;Selenbp1;Dnaja1;Asph;Slc24a4;Lsp1;Rhebl1;Pfn1;Eif5a2;Tnnt2;Rpusd4;Tgfb3;Efna1;Cdh16;Axin2;Wee1;Rbm3,0.24653,0.090579,-0.01713,0.181272,-0.155952,-0.232916,-0.077856,-0.055108,-0.132073,0.012044,-0.046108,-0.118138,0.028003
IRF2 (human),42,C3;Lrrc39;Mecom;Spsb1;Kank4;Rnaseh2b;Slc16a9;Acp6;Myo10;Hhip;Ube2g1;Ptprd;Ide;Pcsk5;Bbs5;Klhl31;Rem1;Fdps;Rgs1;Samhd1;Coq10b;Smc2;Ier5;Ier3;Gnl1;Fmo3;Tmem38b;Cys1;Klf9;Apobr;Smpdl3b;Glrx;Akap5;Gpm6a;Dpf1;Glul;Nqo1;Mapre2;Tgfb2;Hist1h2ae;Tshr;Palld,0.245122,0.105465,-0.026293,0.223053,-0.022887,-0.13261,0.096851,-0.139657,-0.262858,-0.02842,-0.029564,-0.143243,0.084416
RUNX2 (human),65,Haghl;Psmd9;Gbp5;Tmc7;Cdkl5;Dgat2;Lars2;Ndst3;Srsf5;Hsp90b1;Fam13a;Htr2a;Ip6k2;Fhl2;Ppp1r3b;Scn2b;Capsl;Rassf2;Rassf4;Cd14;Csdc2;Rrad;Pcsk5;Sec14l1;Dync1i2;Filip1l;Scara5;Dpep1;Proca1;Pak4;Rgs1;Nav2;Gpcpd1;Irf7;Mknk2;Armc2;Fmo1;Angptl4;Gpr146;Rab36;Ablim1;Usp2;Mamstr;Cacnb2;Erf;C1qtnf7;Dusp10;Phactr3;Uba52;Adamts8;Hsbp1l1;Ifitm3;Antxr1;Mthfd1l;Gpm6a;Ifit3;Glul;Nmb;Tsc22d3;Aldoa;Stc2;Pdzd2;Tiparp;Hspb1;Dbp,0.240786,0.120222,-0.011707,0.228191,-0.063695,-0.176234,0.023444,-0.09105,-0.170128,-0.008221,-0.120564,-0.199763,-0.04346
USF1 (mouse),46,Upb1;Klf15;Tmc7;Wtip;Bik;Cdc25b;Olfr330;Osgin1;Tnfrsf21;Trim58;Kcnk1;Crybg3;Unc5b;Upp2;Tmem86a;Dpep1;Arhgef26;Tef;Hspa1a;Asb2;Hspa4l;Gramd1c;Col23a1;Sema4a;Ckm;Pf4;Dgkh;Lancl3;Serinc3;Dnajb4;Dnaja4;Lsp1;Hist1h4c;Akap5;Klhdc8b;Maged2;Patz1;Krt18;Aldoa;Sgk1;Tgfb2;Tgfbi;Rasd2;Manba;Lpin3;Il15ra,0.235901,0.044925,-0.069562,0.145208,-0.190977,-0.291467,-0.087981,-0.031883,-0.129852,0.068576,-0.085652,-0.213478,0.020437
Stat3 (mouse),58,Oplah;Dusp1;Mecom;Hsp90b1;Map3k6;Ahsa2;Unc5d;Cyp39a1;Hhip;Tnfaip6;Prelid2;Homer2;Cdkn1a;Tle1;Ablim1;Hmgcs2;Angpt2;Pir;Apobr;Ifrd2;Arrdc3;Arrdc4;Cited4;Ptn;Lpin3;Plaur;Rbm3;Upb1;C3;Bdnf;Hsp90ab1;Ank3;Cd14;Ptprd;Id1;Id2;Socs3;Socs2;Zbp1;Mt1;Gpcpd1;Fam98b;Myc;Ier5;Tmem140;Phlda1;Dgkh;Slc15a2;Fam107a;Efhc2;Gpm6a;Fibin;Sgk1;Tgfb3;Npy1r;Smad7;Tshr;Acan,0.22585,0.091868,-0.024524,0.187544,-0.100612,-0.189017,-0.008542,-0.133982,-0.217799,-0.053648,-0.04126,-0.134056,0.0618
PITX1 (human),49,Atf3;Psmd9;Baz1a;Pkig;Zbtb8a;Tmc7;Lars2;Prrx2;Hat1;Rnft1;Gmnn;Eif4ebp1;Aph1a;Rsad1;Cdc20;Mia;Cd14;Ube2g1;Anln;Sec14l1;Spc24;Pnpla2;Herpud1;Fdps;Nav2;Gpcpd1;Trib3;Samhd1;Hnrnpm;Parl;Serpinf1;Bloc1s1;Timp1;Lpcat2;Fkbp5;Slc15a2;Ppef1;Cacnb2;Efhb;Uba52;Smpdl3b;Prr5l;Ifitm3;Aldoa;Gdf15;Nol3;Manba;Usp42;Cldn7,0.225585,0.085256,-0.021573,0.184285,-0.140329,-0.239586,-0.044687,0.013235,-0.094671,0.1027,-0.123432,-0.222682,-0.016292
ETV4 (mouse),68,Dpysl2;Sphk1;Mmp14;Trim58;Kcnk3;Itgb3;Cnksr3;Tcap;Iigp1;Htra4;Lasp1;Grk5;Atf7ip;Tef;Fbxl22;Kitl;Usp2;C1qtnf7;Hmgcs2;Angpt2;Lyz2;Phactr3;Adamts8;Apcdd1;Ifit3;Tlr2;Hist1h2ae;Clock;Hlf;Stard4;Upb1;Gbp5;Abtb2;Bdnf;Aph1a;Ppp1r3a;Ctps;Arsg;Anln;Ide;Socs2;Per1;Ndrg1;Capn3;Pak3;Pak6;Parl;St13;Agtr1a;Trim2;Fmo3;Sema4a;Phlda1;Enkur;Grb14;Acss1;Slc15a2;Cyp4f14;Rhobtb1;Txnrd3;Glrx;Tsc22d3;Rpusd4;Sgk1;Npy1r;Espn;Ect2l;Nfkbia,0.224473,0.106965,0.014409,0.196674,-0.117508,-0.190315,-0.028488,-0.060762,-0.131768,0.037138,-0.105659,-0.199659,-0.025808
GLI2 (human),86,Slc5a3;Zbtb8a;Kcnb1;Dusp8;Lrrc32;Vwa3a;Kcna2;Ndst3;Zbtb16;Cdc25b;Ly6e;Npas2;Foxo3;Hsp90b1;Jam2;Eif4ebp1;Bdnf;Ntrk3;Cirbp;Cdc40;Mboat1;Actn2;Mfsd10;Mapk12;Chordc1;Ank3;Wnk4;Scn2b;Rassf2;Tspan4;Cd14;Id1;Id2;Per1;Tcap;Plvap;Slc1a4;Proca1;Asb10;Arhgef26;Cacna1d;Eef2k;Rbm24;Ttc22;Pik3r3;Eepd1;Trib2;Cck;Tef;Cd9;Fam120c;Nxnl2;Plk3;Nr1d2;Gja4;Ier3;Dgkg;Erf;Irs2;Insig1;Abhd11;Txnrd3;Serpini1;Dusp10;Selenbp1;Snrnp48;Smpdl3b;Slc24a4;Prr5l;Hsbp1l1;Arrdc2;Arc;Gng10;Dpf1;Hist3h2a;Serp2;Cdk2ap1;Nol3;Dock10;Ephx1;Smad7;Nr4a2;Axin2;Dbp;Wee1;Palld,0.219018,0.061165,-0.029046,0.135078,-0.157853,-0.238307,-0.073121,-0.082612,-0.159231,-0.009917,-0.060067,-0.128756,0.010466
XBP1 (human),19,Cd9;Micall2;Fos;Fmod;Sap30;Hat1;Rnft1;Rhobtb1;C1qtnf7;Lbh;Dnaja4;Wdr6;Xbp1;Gdpd5;Hsd17b7;Hspa5;Tbc1d1;Thra;Rnd3,0.216827,-0.209898,-0.369992,-0.071816,0.006929,-0.104942,0.151091,-0.046573,-0.224054,0.069071,0.000189,-0.131965,0.142862
HNF1A (human),75,Dpysl2;Cdkl5;Dgat2;Kcna2;Hsp90b1;Frzb;Bmf;Tnfrsf21;Trim58;Kcnk3;Adamts10;Hnrnpa1;Mfsd10;Bbs5;Pnpla2;Tfap2b;Ets1;Nav2;Grk5;Smoc1;Cdkn1a;Slc8a3;Ckb;Snrpn;Ablim1;Ppef1;C1qtnf7;Lancl3;Phactr3;Ccdc60;Mthfd1l;Twist2;Rab6b;Dock10;Efnb1;Efna1;Stard3;Upb1;Zbtb8a;Vwa3a;F3;Prrx2;Sap30;Has3;Fam13a;Bdnf;Mmab;Prc1;Ntn4;Chordc1;Capsl;Cd14;Ccdc112;Ptprd;Id3;Mnt;Klhl31;Pak4;Fdps;Arhgef26;Mmp3;Samhd1;Maml3;Sema4a;Phlda1;Grb14;Slc15a2;Mri1;Slc24a4;Pfn1;Glrx;Rhou;Tgfb2;Npy1r;Arid5a,0.215189,0.103286,0.014986,0.184035,-0.058425,-0.13369,0.027708,-0.068317,-0.173561,0.024218,-0.111902,-0.188066,-0.024215
TFAP2D (human),57,Sdf2l1;Tmc7;Spsb1;Kcna2;Bik;Prrx2;Leo1;Synpo2l;Prc1;Hnrnpa0;Rsad1;Tm4sf1;Ctps;Aimp2;Rassf2;Cd14;Sdc3;Ide;Sec14l1;Spc24;Herpud1;Nexn;Capn3;Pak3;Pak6;Narf;Prodh;Trib3;Samhd1;Spata24;Homer2;Enpep;Nr1d1;Tal2;Pqlc3;Timp1;Adamtsl5;Ldlr;Igfbp2;Mamstr;Cys1;Col14a1;Xirp1;Klf2;Lsp1;Hsbp1l1;Lman2l;Dpf1;Banp;Krt18;Slc35f5;Nol3;Manba;Dock5;Cmtm6;Rwdd3;Pik3ip1,0.213508,0.070397,-0.032505,0.180822,-0.125973,-0.211504,-0.011017,0.007073,-0.077491,0.100594,-0.143111,-0.24886,-0.033798
