gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
ECM-receptor interaction,3,Comp;Spp1;Thbs1,1.889846,0.280256,-0.528539,0.930606,1.060855,0.440335,1.654853,-0.828991,-1.334278,-0.394744,-0.013434,-0.715335,0.628141
Arachidonic acid metabolism,3,Pla2g2e;Cyp2b10;Cyp2e1,1.499623,0.914052,0.06043,1.637845,-0.41239,-1.168207,0.363406,1.087233,0.221128,1.914809,0.690553,-0.162845,1.468954
Phagosome,3,Comp;Tlr4;Thbs1,1.495939,0.404933,-0.179981,1.041986,0.843751,0.340724,1.352933,-0.652188,-1.164149,-0.115656,-0.33739,-0.868597,0.27151
Cholesterol metabolism,3,Apoc1;Angptl4;Lpl,1.394209,0.469275,-0.100381,1.066192,0.179064,-0.343772,0.839915,1.229888,0.523085,1.895535,-0.164321,-0.985018,0.586403
Ether lipid metabolism,4,Pla2g2e;Pld1;Enpp2;Enpp6,1.363252,0.923538,0.280864,1.608703,-0.439714,-0.918352,0.223495,0.162434,-0.474573,0.734415,-0.109512,-0.754795,0.676953
Focal adhesion,5,Comp;Spp1;Pgf;Pik3r3;Thbs1,1.120376,0.350179,-0.30206,0.888393,0.67336,0.1251,1.124791,-0.447016,-0.853556,-0.097883,-0.316717,-0.779924,0.22383
Cardiac muscle contraction,5,Atp1b1;Cox4i2;Cox6b2;Cacnb4;Tnnt2,0.966073,0.756103,0.255389,1.292645,0.165918,-0.331929,0.66745,-0.20997,-0.575222,0.265061,-0.031912,-0.507564,0.433363
TNF signaling pathway,7,Creb3l1;Mmp3;Il6;Mmp14;Pik3r3;Cxcl2;Ccl2,0.854232,-0.728451,-1.122056,-0.273429,0.125781,-0.283167,0.436528,0.058105,-0.362435,0.378998,-0.06892,-0.468805,0.402777
Glycerolipid metabolism,3,Dgat2;Pnpla2;Lpl,0.786809,-0.028818,-0.686836,0.575971,-0.227863,-0.839337,0.482995,0.558946,0.069463,1.120981,-0.152585,-1.027066,0.709699
Drug metabolism,13,Gsta4;Gsta3;Hprt;Aldh3a1;Adh1;Aldh3b1;Nme3;Gstm7;Fmo1;Fmo2;Fmo3;Fmo4;Cyp2e1,0.615701,0.534436,0.201675,0.92008,-0.009237,-0.297173,0.296011,-0.081265,-0.342934,0.208779,0.133255,-0.15646,0.473309
Metabolism of xenobiotics by cytochrome P450,8,Gsta4;Gsta3;Gstm7;Cyp1b1;Aldh3a1;Cyp2e1;Adh1;Aldh3b1,0.578877,0.560417,0.135125,1.022562,-0.01846,-0.3819,0.359196,0.05072,-0.350519,0.407722,0.134672,-0.284179,0.603781
Antigen processing and presentation,5,Cd74;Hsp90aa1;Hspa5;Hspa8;Hspa1b,0.57432,-0.517007,-0.976859,-0.155784,0.057313,-0.43817,0.48291,-0.248217,-0.656384,0.123153,-0.012644,-0.439699,0.446346
PI3K-Akt signaling pathway,11,Creb3l1;Tlr4;Cdkn1a;Comp;Spp1;Pgf;Hsp90aa1;Angpt2;Il6;Pik3r3;Thbs1,0.545275,-0.080288,-0.435751,0.269429,0.39912,0.138996,0.648767,-0.146155,-0.394916,0.126807,-0.063407,-0.322296,0.224195
