gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
SOX10 (human),4,Lum;Comp;Pdk4;Slc24a5,1.100781,0.416926,-0.214384,0.960319,0.054634,-0.355881,0.620642,-0.2992,-0.782126,0.108828,-0.683854,-1.223305,-0.166079
NFIA (human),30,Hsph1;Cyp2e1;Hp;Sh3bp2;Slc25a47;Osgin1;Tmem86a;Ppp1r1b;Herpud1;Enpp2;Rarres1;Chchd10;Cytl1;Tnfaip2;Marveld1;Gfod2;Tef;Cntfr;Cyb561;Ahsg;Angptl7;Fkbp5;Notch4;Kcnj15;Sema3e;Tnnt2;Cst6;Usp54;Cabp1;Aldh3b1,0.965483,0.626167,0.357501,0.917102,-0.339315,-0.574891,-0.08049,0.153246,-0.045916,0.377095,-0.074649,-0.284786,0.146176
KLF5 (human),37,Klf11;Rapgef5;Hsd11b2;Zbtb16;Cdc25b;Cxcl12;Trim67;Tnfrsf25;Cox4i2;Nova1;Ece1;Cpne7;Egr3;Ppp1r1b;Adcyap1r1;Socs2;Vmo1;Taf1c;Rasgef1b;Cbs;Sox12;Tef;St3gal4;Angptl4;Fkbp4;Cys1;Erf;Ankrd12;Cdc14a;Itpr3;Cpt1a;Smpdl3b;Ezr;Atp1b1;Aldh3b1;Hspa8;Nt5dc2,0.71711,0.511308,0.308018,0.687605,-0.205801,-0.393606,0.030082,-0.099314,-0.245813,0.065251,-0.051076,-0.26661,0.137143
HMGA1 (human),35,Larp6;Mthfd2;Hpgd;F13a1;Has1;Ccl8;Enpp2;Enpp6;Klhl13;Mmp3;Vcan;Pik3r3;Pld1;Trdmt1;Ptx3;Plac8;Timp4;Fmo2;Fmo3;Fmo4;Angptl7;Angptl4;Dio2;Esrrg;Angpt2;Kcnj15;Tnmd;Slc24a5;Sema3e;Meox1;Npy1r;Gsta3;Hoxa10;Plcxd3;Clock,0.699722,0.352333,0.15948,0.545743,0.117992,-0.105219,0.31289,-0.058386,-0.287776,0.112196,-0.347389,-0.528618,-0.177375
MYC (human),45,Larp6;Klf11;Klf15;Cilp;Bhlhe41;Myoc;Dgat2;Tmem51;Slc27a1;Sh3bp2;Me3;Plekha6;Ppp1r1b;Per3;Per1;Tcap;Herpud1;Stbd1;Cd55;Fam174b;Rgs7;Trdmt1;Cbs;Tef;Serpine1;Nr1d1;Nr1d2;Stmn1;Cyb561;G0s2;Fmo4;Tmem229b;Angptl2;Fkbp5;Ankrd12;Cpt1a;Selenbp1;Dnaja1;Apoc1;Sema3e;Tnnt2;Meox1;Csf2ra;Aldh3b1;Wee1,0.697545,0.457362,0.290732,0.642744,-0.240182,-0.409424,-0.066783,0.069766,-0.094279,0.282329,0.022253,-0.112639,0.215918
IRF2 (mouse),23,Dlx6;Enpp2;Rasgef1b;Gfod2;Ptx3;Cbs;Dio2;Mab21l2;Meox1;Cst6;Lmo2;Gsta3;Sh3bp2;Pabpc1l;Snx8;A4galt;Il6;Fmo3;Dhcr24;Smpdl3b;Sema3e;Tsc22d3;Fibin,0.696164,0.45883,0.159579,0.7199,-0.061317,-0.293434,0.210544,-0.237334,-0.503405,-0.01178,-0.090358,-0.34103,0.166641
Pax2 (mouse),22,Rapgef5;F13a1;Sh3bp2;Gria4;Dbf4;Ccl2;A4galt;Pla2g2e;Wnt2;Gm6710;Fmo2;Fmo4;Adamtsl2;Dio2;Cacnb4;Sord;Tsc22d3;Svil;Hba-a1;Dbp;Lonrf1;Clock,0.664507,0.366945,0.090002,0.671826,-0.297562,-0.536078,-0.008264,-0.146495,-0.363216,0.143995,0.183587,-0.041487,0.437787
MTF1 (human),35,Prex1;Bhlhe41;Hsd11b2;Smtnl2;Tmem52;Zbtb16;Kcnd3;Lingo1;Cox4i2;Nova1;Foxf1;Ppp1r1b;Tspan4;Per3;Pnpla2;Taf1c;Rgs7;Etv4;Wnt2;Wnt4;Cyp1b1;St3gal4;Angptl4;Cdh4;Igfbp3;Pgf;Cacnb4;Klf2;Svil;Rasd2;Basp1;Aldh3a1;Csf2ra;Dbp;Camk2b,0.660514,0.471306,0.268655,0.680952,-0.187999,-0.433625,0.045227,-0.189208,-0.395098,-0.010935,-0.020727,-0.249016,0.207684
ZNF354C (human),19,Klf11;Zbtb16;S100a4;Sh3bp2;Leo1;Spp1;St5;Tspan4;Enpp2;Cytl1;Serpine1;Prdx6;Esrrg;Nes;Selenbp1;Uba52;Sorbs1;Top1mt;Hlf,0.629304,0.443729,0.151372,0.6778,-0.185576,-0.446524,0.044363,-0.131372,-0.398999,0.093902,0.054117,-0.215536,0.315661
ETV4 (human),38,Mbd1;Sh3bp2;Osgin1;Ece1;Ccl2;Tspan4;Socs2;Col5a3;Cytl1;Bmp4;Hspa1b;Cyb561;Adm;Fmo4;Dhrs3;Angptl7;Angptl2;Adamtsl2;Fkbp5;Hmgn2;Esrrg;Cacnb4;Notch4;Ankrd12;Hmgcs2;Slc24a5;Coch;Aqp1;Arrdc4;Ezr;Lrrn4cl;Gsta4;Aldh3a1;Arhgap18;Cabp1;Csf2ra;Aldh3b1;Camk2b,0.624625,0.445333,0.211404,0.641476,-0.179292,-0.41115,0.029863,-0.16272,-0.344763,0.007938,-0.13286,-0.29687,0.03391
