gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Cytosolic DNA-sensing pathway,3,Zbp1;Nfkbia;Irf7,0.738811,0.278786,-0.521392,0.8687,-0.460025,-0.923821,-0.041477,0.20276,-0.224772,0.633706,-0.321605,-0.766908,0.124707
Endocytosis,8,Hspa1a;Hspa1b;Asap2;Ldlr;Fgfr2;Hspa8;Cav1;Grk5,0.694403,-0.668644,-0.855115,-0.389478,-0.176504,-0.360768,0.036837,-0.134101,-0.403285,0.112132,0.02576,-0.150422,0.184747
Drug metabolism,9,Upb1;Gsta4;Gstt1;Rrm2;Fmo1;Fmo2;Fmo3;Fmo4;Upp2,0.589521,0.299331,0.021785,0.547799,-0.111374,-0.412283,0.187364,-0.29019,-0.52398,-0.04852,-0.114142,-0.371073,0.156857
Steroid biosynthesis,5,Hsd17b7;Dhcr24;Msmo1;Cyp51;Sqle,0.542726,-0.531404,-0.874834,-0.221143,-0.053312,-0.383756,0.315394,-0.191953,-0.613212,0.21907,0.011321,-0.281075,0.305948
Antigen processing and presentation,8,Cd74;Hsp90aa1;Hspa5;Hspa8;Hspa1a;Hspa1b;Hsp90ab1;Ifi30,0.522258,-0.548632,-0.705434,-0.316932,-0.377417,-0.568496,-0.183955,-0.255893,-0.510295,-0.020473,-0.026374,-0.189026,0.17725
Gap junction,8,Adrb1;Htr2a;Adcy7;Drd1;Plcb1;Pdgfc;Pdgfb;Gnai1,0.511165,0.141973,-0.118436,0.417881,-0.369192,-0.665837,-0.092402,0.02996,-0.283387,0.307339,-0.077201,-0.33141,0.169067
Glutathione metabolism,5,Gsta4;Chac1;Rrm2;Gstt1;Oplah,0.461667,0.015302,-0.462357,0.405189,0.034117,-0.391649,0.509448,-0.427549,-0.807754,-0.097515,-0.189058,-0.518601,0.182951
Spliceosome,8,Hnrnpm;Hspa1a;Srsf5;Hspa1b;Hspa8;Bcas2;Cdc40;Hnrnpa1,0.455718,-0.460449,-0.643682,-0.201101,-0.205478,-0.379635,0.00205,-0.223988,-0.424172,0.022646,-0.00473,-0.207736,0.250127
PPAR signaling pathway,8,Gk;Hmgcs2;Cpt1a;Fabp3;Angptl4;Lpl;Ubc;Scd2,0.439761,0.203575,-0.101885,0.470951,0.111431,-0.148259,0.327036,-0.236187,-0.489839,-0.016911,-0.141405,-0.343295,0.093789
ErbB signaling pathway,11,Jun;Ereg;Pik3r3;Myc;Pak4;Pak3;Pak6;Hbegf;Cdkn1a;Eif4ebp1;Camk2b,0.439282,-0.33965,-0.60226,-0.079453,0.069688,-0.116751,0.259801,0.099632,-0.129984,0.284595,-0.034061,-0.280881,0.209703
